family_id,n,slug,status,n_relocated,t_seconds,stage_failed,error_msg,timestamp
25,3,f25_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
59,3,f59_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
71,4,f71_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
91,3,f91_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
125,5,f125_reuse,done_cached,5,0.0,,,2026-06-11 21:39:32
184,3,f184_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
208,3,f208_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
214,3,f214_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
247,3,f247_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
251,4,f251_reuse,absolute_only,0,0.0,,,2026-06-11 21:39:32
256,3,f256_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
257,4,f257_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
263,3,f263_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
306,4,f306_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
307,3,f307_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
316,3,f316_reuse,done_cached,2,0.0,,,2026-06-11 21:39:32
321,4,f321_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
368,3,f368_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
389,3,f389_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
412,5,f412_reuse,done_cached,5,0.0,,,2026-06-11 21:39:32
414,3,f414_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
426,10,f426_reuse,done_cached,10,0.0,,,2026-06-11 21:39:31
482,3,f482_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
509,3,f509_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
515,4,f515_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
520,3,f520_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
535,3,f535_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
539,3,f539_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
555,3,f555_reuse,done_cached,3,0.0,,,2026-06-11 21:39:32
563,3,f563_reuse,done_cached,2,0.0,,,2026-06-11 21:39:32
566,4,f566_reuse,done_cached,4,0.0,,,2026-06-11 21:39:32
