family_id,n,slug,status,n_relocated,t_seconds,stage_failed,error_msg,timestamp
38,5,f38_b515_reuse,done,5,28.5,,,2026-06-11 23:45:39
40,3,f40_b515_reuse,done,3,17.6,,,2026-06-11 23:57:43
110,3,f110_b515_reuse,done,3,11.1,,,2026-06-11 23:56:51
116,5,f116_b515_reuse,done,4,11.2,,,2026-06-11 23:45:50
153,3,f153_b515_reuse,done,3,24.6,,,2026-06-11 23:57:15
162,3,f162_b515_reuse,done,3,9.8,,,2026-06-11 23:57:25
176,4,f176_b515_reuse,done,4,17.5,,,2026-06-11 23:56:14
197,3,f197_b515_reuse,done,3,10.3,,,2026-06-12 00:01:32
202,4,f202_b515_reuse,done,4,9.7,,,2026-06-11 23:54:05
203,3,f203_b515_reuse,done,3,8.9,,,2026-06-11 23:57:52
215,3,f215_b515_reuse,done,3,10.6,,,2026-06-11 23:58:02
221,5,f221_b515_reuse,done,5,26.8,,,2026-06-11 23:45:11
222,4,f222_b515_reuse,done,4,30.9,,,2026-06-11 23:55:29
226,4,f226_b515_reuse,done,4,30.2,,,2026-06-11 23:54:46
228,3,f228_b515_reuse,done,3,19.9,,,2026-06-12 00:00:55
249,6,f249_b515_reuse,done,4,23.8,,,2026-06-11 23:44:20
269,3,f269_b515_reuse,done,3,17.0,,,2026-06-12 00:00:35
277,4,f277_b515_reuse,done,4,12.0,,,2026-06-11 23:54:58
280,28,f280_b515_reuse,done_cached,27,0.0,,,2026-06-11 23:19:37
327,4,f327_b515_reuse,done,4,11.2,,,2026-06-11 23:54:16
345,3,f345_b515_reuse,done,3,10.2,,,2026-06-12 00:00:18
346,4,f346_b515_reuse,done,4,14.8,,,2026-06-11 23:56:29
356,3,f356_b515_reuse,done,3,11.4,,,2026-06-12 00:00:08
358,41,f358_b515_reuse,done,41,164.1,,,2026-06-11 23:14:24
378,3,f378_b515_reuse,done,3,26.4,,,2026-06-12 00:01:22
401,4,f401_b515_reuse,done,4,13.2,,,2026-06-11 23:55:42
409,3,f409_b515_reuse,done,3,11.9,,,2026-06-11 23:59:57
410,3,f410_b515_reuse,done,3,10.5,,,2026-06-11 23:59:13
414,4,f414_b515_reuse,done,4,10.3,,,2026-06-11 23:56:40
418,3,f418_b515_reuse,done,3,9.0,,,2026-06-11 23:59:45
424,3,f424_b515_reuse,done,3,23.1,,,2026-06-11 23:59:36
439,4,f439_b515_reuse,done,4,14.7,,,2026-06-11 23:55:57
470,5,f470_b515_reuse,done,5,12.0,,,2026-06-11 23:46:02
474,4,f474_b515_reuse,done,4,130.2,,,2026-06-11 23:53:41
480,6,f480_b515_reuse,done,6,38.4,,,2026-06-11 23:43:10
487,7,f487_b515_reuse,done,7,32.7,,,2026-06-11 23:39:03
