event_id,time_utc,lat,lon,depth,x,y,z,ex95,ey95,ez95,nccp,nccs,nctp,ncts
20161117185932,2016-11-17T18:59:32.480000Z,35.693929,129.374211,10.772,171.4,40.9,55.4,2.5,6.4,8.4,23,92,93,141
20161121165550,2016-11-21T16:55:50.610000Z,35.692969,129.373096,10.767,70.6,-65.3,50.4,11.1,165.9,102.8,11,91,92,98
20161121165627,2016-11-21T16:56:27.500000Z,35.693038,129.372412,10.723,8.5,-57.9,6.1,2.5,1.9,5.4,39,140,159,196
20161121170043,2016-11-21T17:00:43.840000Z,35.693075,129.372184,10.578,-12.1,-53.8,-138.1,38.2,82.8,175.8,0,90,61,100
20161121170836,2016-11-21T17:08:36.060000Z,35.692985,129.371826,10.537,-44.4,-63.7,-179.2,90.3,528.4,339.7,0,67,66,129
20161121171558,2016-11-21T17:15:58.260000Z,35.693245,129.372257,10.715,-5.1,-34.9,-1.6,2.8,1.7,4.1,32,142,169,201
20161121171633,2016-11-21T17:16:33.760000Z,35.692936,129.37203,10.717,-25.7,-68.9,0.3,3.2,52.2,28.5,21,80,93,70
20161121171717,2016-11-21T17:17:17.480000Z,35.693685,129.373535,10.901,110.7,13.9,184.3,121.1,73.8,199.9,20,63,60,122
20161121172022,2016-11-21T17:20:22.280000Z,35.692887,129.372827,10.737,46.7,-74.7,20.1,1.9,2.8,4.4,41,149,182,219
20161121172242,2016-11-21T17:22:42.840000Z,35.692765,129.372673,10.734,32.1,-87.9,17.8,1.6,2.0,5.3,16,105,93,122
20161121172300,2016-11-21T17:23:00.880000Z,35.692716,129.372485,10.724,15.6,-93.6,7.0,61.9,322.6,142.6,29,132,95,166
20161121174534,2016-11-21T17:45:34.840000Z,35.693355,129.372599,10.727,25.9,-22.6,10.9,2.9,8.0,5.6,39,122,185,218
20161121180159,2016-11-21T18:01:59.380000Z,35.69386,129.37264,10.727,29.2,33.4,10.5,1.9,2.9,6.3,16,123,119,128
20161121184302,2016-11-21T18:43:02.360000Z,35.693526,129.371883,10.705,-39.0,-3.5,-11.4,1.3,1.4,2.6,55,154,187,217
20161121193657,2016-11-21T19:36:57.960000Z,35.693868,129.37207,10.713,-22.0,34.5,-3.2,1.5,1.1,2.7,38,140,155,185
20161121193747,2016-11-21T19:37:47.040000Z,35.69399,129.372192,10.72,-10.8,47.9,3.3,1.4,1.6,3.2,40,144,152,175
20161126094549,2016-11-26T09:45:49.620000Z,35.692904,129.372005,10.705,-27.9,-72.7,-11.5,1.0,0.9,2.4,50,152,181,208
20161126095726,2016-11-26T09:57:26.400000Z,35.692688,129.371818,10.683,-44.8,-96.4,-33.4,37.1,20.0,55.7,28,82,105,142
20161126160957,2016-11-26T16:09:57.890000Z,35.694124,129.372233,10.727,-7.3,62.5,10.6,1.4,1.2,2.7,22,127,132,152
20161201081206,2016-12-01T08:12:06.290000Z,35.693933,129.373348,10.747,93.8,41.6,30.8,4.6,5.9,7.9,25,134,156,199
20161205232017,2016-12-05T23:20:17.680000Z,35.692818,129.373413,10.778,99.1,-82.3,61.2,4.9,161.7,67.2,14,68,91,97
20161208012444,2016-12-08T01:24:44.860000Z,35.694076,129.371908,10.722,-36.7,57.4,5.7,14.0,199.8,118.8,24,93,94,129
20161209023236,2016-12-09T02:32:36.680000Z,35.69342,129.371468,10.682,-76.8,-15.2,-34.1,1.8,1.1,2.7,35,138,149,176
20161209023435,2016-12-09T02:34:35.210000Z,35.69425,129.370654,10.648,-150.5,76.6,-68.8,2.1,1.7,3.3,18,129,86,199
20161209033716,2016-12-09T03:37:16.970000Z,35.694222,129.371541,10.702,-70.1,73.7,-14.6,2.4,2.8,5.4,28,109,134,141
20161210013720,2016-12-10T01:37:20.100000Z,35.694368,129.37159,10.71,-65.5,89.7,-7.0,15.2,52.6,37.3,12,92,133,151
20161217093657,2016-12-17T09:36:57.640000Z,35.693254,129.37111,10.666,-108.8,-33.7,-50.1,3.2,7.6,10.4,23,79,146,153
20161217094225,2016-12-17T09:42:25.160000Z,35.693119,129.371712,10.691,-54.7,-48.8,-25.4,2.4,2.3,5.0,34,139,166,189
20161222130106,2016-12-22T13:01:06.640000Z,35.69362,129.372192,10.703,-11.3,7.0,-13.5,1.3,2.5,3.4,27,115,145,176
20161227184827,2016-12-27T18:48:27.840000Z,35.693123,129.371362,10.691,-86.3,-48.4,-25.9,36.5,23.2,68.6,31,97,120,129
20170128214919,2017-01-28T21:49:19.360000Z,35.693343,129.373657,10.769,121.8,-23.9,52.4,1.9,2.2,5.8,13,130,137,184
20170128215108,2017-01-28T21:51:08.320000Z,35.693355,129.373861,10.776,139.7,-22.4,59.4,4.0,3.5,7.2,20,124,164,197
20170202203543,2017-02-02T20:35:43.560000Z,35.692851,129.373511,10.767,108.1,-78.6,50.0,1.8,2.0,5.6,16,115,119,152
20170202213727,2017-02-02T21:37:27.960000Z,35.692904,129.3736,10.77,116.0,-72.9,53.0,4.2,2.3,5.7,20,133,173,197
20170311170059,2017-03-11T17:00:59.280000Z,35.694153,129.373869,10.764,140.4,65.9,47.3,3.1,3.8,7.0,32,126,148,196
