event_id,time_utc,lat,lon,depth,x,y,z,ex95,ey95,ez95,nccp,nccs,nctp,ncts
20161117185932,2016-11-17T18:59:32.520000Z,35.693795,129.372778,10.586,153.6,52.1,35.9,3.8,11.2,10.7,9,52,98,154
20161121165550,2016-11-21T16:55:50.660000Z,35.692822,129.371663,10.564,52.8,-56.2,13.3,1.5,1.4,4.4,5,91,87,155
20161121165627,2016-11-21T16:56:27.540000Z,35.692952,129.371037,10.546,-3.6,-41.7,-4.1,2.7,1.6,4.6,18,91,153,183
20161121170043,2016-11-21T17:00:43.860000Z,35.693339,129.371175,10.539,8.7,1.5,-11.5,3.0,3.7,12.3,4,80,98,100
20161121170836,2016-11-21T17:08:36.060000Z,35.693445,129.371436,10.562,32.3,13.1,11.4,29.3,234.3,104.3,5,74,82,129
20161121171558,2016-11-21T17:15:58.320000Z,35.69316,129.370923,10.543,-13.8,-18.7,-7.8,3.2,2.2,4.8,21,92,154,186
20161121171633,2016-11-21T17:16:33.800000Z,35.69283,129.370662,10.533,-37.6,-55.1,-17.7,3.2,3.6,11.0,7,69,99,100
20161121171717,2016-11-21T17:17:17.560000Z,35.693038,129.370793,10.544,-26.0,-32.0,-6.1,1.5,1.6,4.8,4,94,97,126
20161121172022,2016-11-21T17:20:22.320000Z,35.692798,129.37146,10.563,34.3,-58.5,12.1,1.7,2.7,6.5,16,96,174,195
20161121172242,2016-11-21T17:22:42.880000Z,35.6927,129.371305,10.561,20.3,-69.7,10.0,3.6,5.0,14.9,2,88,97,126
20161121172300,2016-11-21T17:23:00.940000Z,35.692627,129.371118,10.549,4.0,-77.8,-1.2,3.0,2.5,7.6,16,81,125,155
20161121174534,2016-11-21T17:45:34.900000Z,35.693266,129.371224,10.552,13.5,-6.9,1.5,1.9,5.9,6.3,10,87,172,204
20161121180159,2016-11-21T18:01:59.400000Z,35.69377,129.371273,10.551,17.5,49.4,0.3,2.4,3.4,8.8,4,108,123,155
20161121184302,2016-11-21T18:43:02.400000Z,35.693437,129.370524,10.53,-50.2,12.0,-20.5,1.1,1.6,2.7,32,101,177,205
20161121193658,2016-11-21T19:36:58.000000Z,35.69377,129.370695,10.537,-34.4,49.4,-14.0,2.1,1.4,4.4,14,110,137,186
20161121193747,2016-11-21T19:37:47.040000Z,35.693888,129.370825,10.544,-23.0,62.2,-6.5,1.9,1.9,5.1,14,91,147,174
20161126094549,2016-11-26T09:45:49.660000Z,35.692822,129.370654,10.531,-38.2,-56.1,-19.8,1.1,1.1,3.0,25,109,171,205
20161126095726,2016-11-26T09:57:26.440000Z,35.692684,129.370679,10.531,-36.4,-71.2,-19.9,1.5,2.4,4.8,13,83,116,165
20161126160957,2016-11-26T16:09:57.930000Z,35.694023,129.370866,10.552,-19.3,77.1,1.8,1.2,1.5,3.5,11,92,99,126
20161201081206,2016-12-01T08:12:06.330000Z,35.693852,129.371973,10.569,80.9,58.2,18.8,6.9,7.0,14.3,7,91,141,185
20161205232017,2016-12-05T23:20:17.720000Z,35.692236,129.372005,10.565,84.2,-120.8,14.6,4.4,75.9,54.1,9,50,93,96
20161208012444,2016-12-08T01:24:44.910000Z,35.693974,129.37054,10.543,-48.3,71.6,-7.7,3.3,2.4,7.6,15,57,125,129
20161209023236,2016-12-09T02:32:36.720000Z,35.693335,129.370117,10.505,-86.6,0.7,-45.2,3.4,2.3,7.1,10,72,137,164
20161209023435,2016-12-09T02:34:35.250000Z,35.694157,129.369295,10.477,-161.0,92.0,-73.9,2.6,1.7,4.6,9,66,146,172
20161209033717,2016-12-09T03:37:17.020000Z,35.694112,129.37015,10.522,-84.0,87.2,-29.0,2.5,3.8,8.2,18,67,135,129
20161210013720,2016-12-10T01:37:20.140000Z,35.694303,129.370256,10.539,-74.6,108.3,-12.1,1.9,5.1,6.5,12,64,134,154
20161217093657,2016-12-17T09:36:57.690000Z,35.693119,129.369751,10.487,-120.2,-23.1,-63.6,3.3,8.7,14.3,9,60,130,167
20161217094225,2016-12-17T09:42:25.210000Z,35.692993,129.370321,10.507,-68.5,-37.0,-43.3,3.9,4.9,13.3,15,86,138,149
20161222130106,2016-12-22T13:01:06.680000Z,35.693542,129.370833,10.53,-22.3,23.8,-21.0,2.9,5.6,11.2,13,84,123,155
20161227184827,2016-12-27T18:48:27.860000Z,35.692993,129.369995,10.509,-98.1,-37.0,-41.9,2.8,4.6,11.6,11,71,125,129
20170128214919,2017-01-28T21:49:19.420000Z,35.693233,129.372274,10.594,107.9,-10.3,43.3,2.1,2.3,6.6,6,93,135,177
20170128215108,2017-01-28T21:51:08.360000Z,35.693266,129.372477,10.601,127.0,-6.7,50.2,3.2,3.1,8.7,7,91,164,193
20170202203543,2017-02-02T20:35:43.600000Z,35.692773,129.372144,10.597,96.3,-61.4,46.0,2.1,2.4,8.0,6,98,123,155
20170202213728,2017-02-02T21:37:28.000000Z,35.692757,129.37203,10.581,86.1,-63.4,30.9,9.2,3.7,12.2,11,50,106,131
20170311170059,2017-03-11T17:00:59.300000Z,35.694063,129.372493,10.591,128.4,81.8,40.3,2.9,2.3,7.3,8,101,133,184
