event_id,time_utc,lat,lon,depth,x,y,z,ex95,ey95,ez95,nccp,nccs,nctp,ncts
20190318163623,2019-03-18T16:36:23.010000Z,35.714636,129.358545,9.888,-349.4,-1104.8,-352.9,5.2,20.9,8.2,4,22,368,458
20190331094528,2019-03-31T09:45:28.290000Z,35.757601,129.385295,12.013,2069.7,3662.4,1771.3,46.0,58.2,24.7,6,5,142,167
20190803123553,2019-08-03T12:35:53.640000Z,35.717244,129.35341,9.428,-814.7,-815.5,-813.8,1.4,3.2,2.4,91,179,489,724
20190803123900,2019-08-03T12:39:00.090000Z,35.717257,129.353532,9.442,-803.5,-814.0,-799.0,3.5,4.1,3.6,36,78,228,332
20190803131749,2019-08-03T13:17:49.390000Z,35.717318,129.353483,9.433,-807.4,-807.4,-808.2,1.5,3.3,3.5,64,173,482,737
20190803134652,2019-08-03T13:46:52.620000Z,35.717297,129.353678,9.443,-790.3,-809.5,-798.4,201.0,971.7,145.5,28,55,152,231
20190803170708,2019-08-03T17:07:08.720000Z,35.71724,129.35354,9.437,-802.8,-815.8,-804.6,1.4,3.1,2.4,113,203,681,837
20190803172310,2019-08-03T17:23:10.680000Z,35.717135,129.353809,9.455,-778.0,-827.4,-786.4,1.3,3.6,2.1,80,163,325,660
20190825130959,2019-08-25T13:09:59.040000Z,35.710457,129.353125,9.035,-840.5,-1568.5,-1206.4,6.8,47.6,12.4,3,7,309,224
20190826200218,2019-08-26T20:02:18.860000Z,35.712537,129.353182,9.092,-834.7,-1337.8,-1149.5,6.5,23.7,9.0,10,25,347,423
20190922111722,2019-09-22T11:17:22.160000Z,35.715251,129.358569,9.99,-347.3,-1036.4,-251.7,5.6,21.9,10.0,6,29,347,632
20191007051238,2019-10-07T05:12:38.350000Z,35.716724,129.354045,9.414,-756.7,-873.1,-827.1,5.8,5.5,4.2,16,49,290,449
20191007174548,2019-10-07T17:45:48.120000Z,35.716492,129.353825,9.346,-776.5,-898.9,-895.3,3.6,11.8,20.2,1,73,207,233
20191027215643,2019-10-27T21:56:43.260000Z,35.716825,129.354175,9.436,-744.8,-862.0,-805.5,1.3,3.8,1.8,86,168,581,596
20191028211029,2019-10-28T21:10:29.440000Z,35.716862,129.354224,9.436,-741.1,-857.8,-805.1,1.2,3.7,1.8,105,197,684,837
20191111085953,2019-11-11T08:59:53.390000Z,35.71755,129.353451,9.134,-810.6,-781.5,-1107.3,11.4,16.3,54.8,0,56,175,313
20191204131759,2019-12-04T13:17:59.310000Z,35.71453,129.350977,8.872,-1034.8,-1116.6,-1369.5,6.0,46.6,20.8,9,46,244,245
20191208082739,2019-12-08T08:27:39.220000Z,35.761849,129.382389,11.676,1806.8,4133.8,1434.1,12.5,20.1,24.5,11,25,108,137
20191219113044,2019-12-19T11:30:44.010000Z,35.717196,129.353304,9.498,-823.8,-820.6,-743.1,2.8,4.3,2.8,38,181,449,693
20191222153231,2019-12-22T15:32:31.680000Z,35.760335,129.378532,12.396,1458.3,3965.7,2154.3,12.4,21.3,22.3,5,11,161,236
20191224073041,2019-12-24T07:30:41.330000Z,35.760299,129.378573,12.395,1461.6,3961.5,2153.9,12.5,18.2,21.4,5,14,193,308
20200102102158,2020-01-02T10:21:58.880000Z,35.714469,129.351286,8.91,-1006.9,-1123.3,-1331.5,6.2,19.2,20.6,6,49,247,300
20200123182005,2020-01-23T18:20:05.080000Z,35.76228,129.382869,11.521,1850.3,4181.6,1279.9,11.0,17.2,20.8,24,33,142,206
20200201192446,2020-02-01T19:24:46.440000Z,35.716903,129.354036,9.423,-758.0,-853.5,-818.1,2.3,3.7,3.2,44,135,289,546
20200223133753,2020-02-23T13:37:53.050000Z,35.716597,129.353841,9.458,-775.0,-887.2,-783.2,1.9,3.4,2.5,103,239,809,990
20200223134801,2020-02-23T13:48:01.230000Z,35.716858,129.353947,9.461,-765.8,-858.4,-780.8,1.4,4.3,4.4,39,150,349,487
20200223135307,2020-02-23T13:53:07.790000Z,35.716744,129.353532,9.437,-803.7,-871.0,-804.8,1.3,3.6,2.0,78,164,486,661
20200223140730,2020-02-23T14:07:30.000000Z,35.716561,129.353451,9.432,-810.5,-891.3,-809.4,1.5,4.3,2.6,55,104,329,422
20200223143012,2020-02-23T14:30:12.750000Z,35.716671,129.354118,9.477,-750.0,-879.2,-764.0,1.3,3.7,2.1,84,215,493,772
20200225183429,2020-02-25T18:34:29.740000Z,35.712337,129.357121,9.739,-478.6,-1359.8,-502.9,3.2,6.5,4.4,53,87,790,947
20200410102047,2020-04-10T10:20:47.610000Z,35.713574,129.350863,8.867,-1044.6,-1222.4,-1374.1,9.0,66.9,28.2,25,38,306,313
20200410102122,2020-04-10T10:21:22.640000Z,35.714083,129.35105,8.739,-1027.9,-1166.0,-1502.6,26.0,35.3,26.6,42,14,562,323
