id,n,n_relocated,status,stage_failed,note,mean_cc,lat_c,lon_c,depth_med_km,abs_spread_horiz_m,abs_spread_depth_m,dtcc_spread_horiz_m,dtcc_spread_depth_m,collapse_ratio,boot_horiz95_m,boot_depth95_m,t_first,t_last,span_days,recur_med_days,daytime_frac,rayleigh_p
738,35,35,done_cached,,,0.816,35.6938,129.3721,10.55,530,414,94.0,29.0,0.178,4.0,8.0,2016-11-17,2017-03-11,113.9,0.0,0.29,0.001
1218,30,26,done_cached,,,0.901,35.7137,129.3537,9.57,391,416,73.0,23.0,0.186,5.0,5.0,2019-08-01,2022-09-09,1134.9,1.8,0.33,0.005
1115,21,20,done_cached,,,0.857,35.7408,129.4158,13.19,274,338,73.0,25.0,0.266,5.0,4.0,2019-03-20,2024-01-19,1766.0,16.3,0.3,0.299
1215,21,17,done_cached,,,0.914,35.7093,129.3505,8.61,794,709,47.0,72.0,0.059,14.0,9.0,2019-12-04,2021-08-27,632.1,0.6,0.14,0.002
1058,20,20,done_cached,,,0.84,35.8074,129.4356,14.41,282,209,39.0,13.0,0.138,3.0,5.0,2021-08-18,2022-04-30,254.9,0.5,0.35,0.578
969,19,19,done_cached,,,0.878,35.7879,129.4186,12.43,203,234,38.0,48.0,0.188,5.0,3.0,2023-09-07,2023-11-29,83.1,1.0,0.26,0.01
1324,15,15,done_cached,,,0.926,35.7284,129.4034,12.07,504,198,36.0,28.0,0.072,15.0,8.0,2014-07-30,2014-11-04,96.8,0.1,0.33,0.021
1086,15,14,done_cached,,,0.864,35.7667,129.3788,9.63,317,279,22.0,27.0,0.069,5.0,5.0,2020-03-17,2020-08-01,137.0,0.8,0.33,0.289
1057,13,13,done_cached,,,0.887,35.8077,129.4363,14.57,182,148,34.0,8.0,0.189,3.0,4.0,2021-06-07,2021-10-18,133.1,3.9,0.46,0.593
1194,13,13,done_cached,,,0.851,35.758,129.3839,11.93,1845,526,113.0,19.0,0.061,19.0,12.0,2023-03-31,2024-01-10,285.1,2.0,0.23,0.02
426,10,10,done_cached,,,0.848,35.7756,129.3151,8.95,288,246,39.0,24.0,0.136,6.0,5.0,2019-11-16,2023-05-28,1289.4,101.5,0.4,0.754
939,10,10,done_cached,,,0.895,35.7175,129.4007,12.96,190,151,26.0,10.0,0.137,3.0,5.0,2021-01-04,2021-01-16,12.7,0.9,0.1,0.019
1022,10,8,done_cached,,,0.848,35.7232,129.3678,9.88,679,235,64.0,32.0,0.095,59.0,79.0,2019-07-14,2024-04-27,1749.5,77.7,0.3,0.131
1180,9,8,done_cached,,,0.902,35.7133,129.3824,12.59,338,197,23.0,5.0,0.069,8.0,8.0,2023-03-31,2023-06-29,89.5,0.0,0.12,0.008
856,9,8,done_cached,,,0.871,35.8145,129.3778,11.14,264,94,49.0,15.0,0.185,7.0,7.0,2022-05-29,2024-01-12,592.7,0.0,0.67,0.04
1024,9,8,done_cached,,,0.883,35.7245,129.3688,10.05,805,1890,43.0,14.0,0.053,8.0,7.0,2019-12-19,2023-12-03,1445.8,34.2,0.78,0.196
1185,9,8,done_cached,,,0.907,35.7526,129.3854,11.76,1981,1388,42.0,9.0,0.021,84.0,62.0,2022-10-17,2023-01-04,79.6,4.0,0.22,0.561
1203,8,8,done_cached,,,0.89,35.7097,129.3558,9.73,385,360,78.0,52.0,0.203,98.0,110.0,2019-03-18,2023-08-26,1621.9,183.2,0.25,0.258
936,8,8,done_cached,,,0.894,35.7092,129.4053,12.9,194,127,22.0,10.0,0.111,5.0,5.0,2019-10-28,2019-10-29,1.1,0.1,0.86,0.035
776,8,8,done_cached,,,0.86,35.825,129.4092,14.11,236,162,30.0,6.0,0.126,6.0,7.0,2020-04-16,2020-04-21,4.9,0.1,0.12,0.01
1171,7,6,done_cached,,,0.948,35.751,129.4032,12.36,620,195,29.0,4.0,0.046,81.0,63.0,2019-09-09,2019-09-10,1.2,0.1,0.43,0.107
929,7,6,done_cached,,,0.945,35.8182,129.3902,10.69,228,436,12.0,8.0,0.051,5.0,6.0,2019-12-02,2019-12-06,4.5,0.7,0.43,0.356
953,7,6,done_cached,,,0.881,35.7841,129.3155,9.14,150,130,26.0,35.0,0.171,6.0,7.0,2019-09-20,2023-12-16,1548.5,127.5,0.33,0.945
1437,7,6,done_cached,,,0.932,35.7221,129.3857,12.5,1789,452,1770.0,98.0,0.989,872.0,281.0,2010-12-05,2011-11-19,348.9,7.8,0.0,0.014
1255,7,6,done_cached,,,0.915,35.7941,129.3779,11.64,194,211,7.0,3.0,0.035,4.0,6.0,2024-10-09,2024-10-28,18.8,0.6,0.29,0.721
1038,7,7,done_cached,,,0.909,35.732,129.4077,12.14,1528,1755,11.0,10.0,0.007,5.0,7.0,2019-06-10,2019-06-11,1.2,0.1,0.14,0.114
613,6,6,done_cached,,,0.884,35.7349,129.3015,11.47,63,170,16.0,6.0,0.246,5.0,7.0,2024-03-15,2024-03-16,0.6,0.0,0.17,0.245
583,6,6,done_cached,,,0.907,35.722,129.3662,10.03,707,182,30.0,13.0,0.042,41.0,25.0,2016-11-16,2017-01-19,64.3,3.7,0.0,0.144
886,6,6,done_cached,,,0.912,35.7273,129.3523,9.43,223,146,17.0,18.0,0.076,6.0,8.0,2020-03-22,2020-03-30,8.2,0.8,0.33,0.498
1145,6,6,done_cached,,,0.903,35.7647,129.3755,12.12,962,734,33.0,10.0,0.034,116.0,112.0,2024-07-21,2024-07-21,0.6,0.0,0.83,0.06
1040,6,6,done_cached,,,0.896,35.7098,129.4028,12.73,448,513,30.0,10.0,0.067,6.0,7.0,2022-02-27,2023-07-02,490.4,0.1,0.5,0.095
690,6,6,done_cached,,,0.901,35.7481,129.2956,9.15,164,72,10.0,8.0,0.062,77.0,98.0,2017-04-29,2017-05-13,14.0,1.2,0.5,0.286
1098,5,5,done_cached,,,0.909,35.8002,129.4597,9.59,721,415,13.0,13.0,0.017,195.0,156.0,2022-07-05,2023-08-31,422.3,42.4,0.2,0.137
1327,5,4,done_cached,,,0.915,35.7093,129.3687,9.42,1116,508,196.0,154.0,0.176,308.0,192.0,2013-03-16,2013-09-29,196.4,23.9,0.6,0.651
1208,5,5,done_cached,,,0.891,35.709,129.353,9.56,249,204,33.0,19.0,0.133,10.0,15.0,2022-12-24,2024-05-10,502.9,52.1,0.4,0.539
1112,5,5,done_cached,,,0.946,35.7512,129.4127,12.72,451,104,15.0,6.0,0.034,124.0,104.0,2020-02-18,2020-02-18,0.0,0.0,0.0,0.002
1376,5,5,done_cached,,,0.881,35.7218,129.4031,12.92,205,61,24.0,9.0,0.116,7.0,6.0,2019-01-23,2019-01-26,3.0,0.7,0.6,0.807
412,5,5,done_cached,,,0.897,35.7085,129.4047,12.9,238,309,11.0,6.0,0.046,6.0,7.0,2018-04-20,2018-04-22,1.5,0.2,0.6,0.353
1079,5,5,done_cached,,,0.93,35.8196,129.4028,13.31,121,246,9.0,5.0,0.072,5.0,8.0,2020-04-16,2020-04-18,2.2,0.2,0.0,0.189
809,5,5,done_cached,,,0.92,35.8017,129.414,14.15,246,239,44.0,9.0,0.181,13.0,13.0,2014-09-21,2014-09-27,5.8,0.3,0.2,0.123
