id,n,n_relocated,status,stage_failed,note,mean_cc,lat_c,lon_c,depth_med_km,abs_spread_horiz_m,abs_spread_depth_m,dtcc_spread_horiz_m,dtcc_spread_depth_m,collapse_ratio,boot_horiz95_m,boot_depth95_m,t_first,t_last,span_days,recur_med_days,daytime_frac,rayleigh_p
928,139,130,done,,,0.768,35.7237,129.3621,9.62,2822,1493,2707,1181,0.959,19,13,2019-03-18,2024-10-27,2050.0,4.3,0.28,0.0
358,41,41,done,,,0.802,35.7992,129.414,14.58,341,342,146,50,0.428,6,9,2014-09-21,2014-11-12,52.2,0.2,0.39,0.001
1044,39,39,done,,,0.895,35.6932,129.3723,10.55,675,452,100,30,0.148,4,7,2016-11-17,2017-03-11,113.9,0.0,0.31,0.003
828,36,36,done,,,0.866,35.8075,129.4357,14.5,249,207,56,22,0.224,2,3,2021-06-07,2022-04-30,327.4,0.9,0.36,0.376
280,28,27,done_cached,,,0.829,35.821,129.4174,14.21,242,558,66,12,0.272,4,3,2017-04-23,2017-04-24,0.6,0.0,0.61,0.003
889,24,23,done,,,0.906,35.7409,129.4159,13.18,259,328,80,33,0.31,5,4,2019-03-20,2024-01-19,1766.0,14.4,0.3,0.269
909,20,19,done,,,0.856,35.7667,129.3789,9.52,337,263,29,50,0.085,3,5,2019-03-18,2020-08-01,501.7,0.8,0.37,0.201
1026,20,17,done,,,0.864,35.7223,129.3672,9.89,1788,752,2737,2644,1.531,47,47,2010-05-27,2019-02-14,3184.5,55.5,0.6,0.458
817,19,16,done,,,0.837,35.724,129.3683,9.89,809,1402,99,71,0.122,8,6,2019-07-14,2024-04-27,1749.5,54.4,0.58,0.59
865,18,18,done,,,0.936,35.7879,129.4186,12.43,208,240,36,47,0.174,5,4,2023-09-07,2023-10-05,27.8,0.9,0.22,0.005
710,16,16,done,,,0.955,35.7283,129.4032,12.07,489,195,37,27,0.076,13,6,2014-07-30,2014-11-04,96.8,0.1,0.38,0.024
734,14,13,done,,,0.892,35.7218,129.4033,12.83,282,172,60,17,0.213,4,5,2019-01-23,2019-02-06,13.7,0.1,0.36,0.405
885,11,10,done,,,0.885,35.8146,129.3786,11.16,339,84,53,15,0.157,7,6,2022-05-29,2024-04-27,699.3,0.0,0.64,0.081
1078,10,9,done,,,0.904,35.6973,129.367,9.34,1397,650,933,503,0.668,729,406,2010-06-17,2012-03-11,632.3,23.4,0.4,0.565
793,10,10,done,,,0.944,35.7175,129.4007,12.96,190,151,26,10,0.137,3,5,2021-01-04,2021-01-16,12.7,0.9,0.1,0.019
924,9,8,done,,,0.929,35.7133,129.3824,12.59,338,197,23,5,0.069,8,8,2023-03-31,2023-06-29,89.5,0.0,0.12,0.008
920,9,8,done,,,0.936,35.7501,129.4038,12.36,723,172,79,13,0.109,92,76,2019-09-09,2023-07-22,1412.3,0.2,0.44,0.145
555,9,8,done,,,0.854,35.7269,129.3662,11.39,182,320,35,32,0.191,5,9,2016-09-13,2016-09-19,6.1,0.4,0.11,0.019
647,8,8,done,,,0.9,35.7762,129.3148,8.88,453,471,39,28,0.087,6,6,2019-11-16,2023-03-16,1215.9,119.2,0.38,0.685
792,8,8,done,,,0.914,35.7092,129.4053,12.9,194,127,22,10,0.111,5,5,2019-10-28,2019-10-29,1.1,0.1,0.86,0.035
1121,8,7,done,,,0.938,35.7187,129.3855,12.5,1810,450,1736,280,0.959,903,329,2010-12-05,2011-12-30,389.7,24.3,0.0,0.007
852,8,8,done,,,0.906,35.825,129.4092,14.11,236,162,30,6,0.126,6,7,2020-04-16,2020-04-21,4.9,0.1,0.12,0.01
927,7,7,done,,,0.836,35.7706,129.37,13.66,542,668,499,725,0.921,49,62,2019-09-10,2024-10-18,1865.3,195.9,0.29,0.322
886,7,6,done,,,0.953,35.8182,129.3902,10.69,228,436,12,8,0.051,5,6,2019-12-02,2019-12-06,4.5,0.7,0.43,0.356
895,7,6,done,,,0.942,35.7941,129.3779,11.64,194,211,7,3,0.035,4,6,2024-10-09,2024-10-28,18.8,0.6,0.29,0.721
1062,7,7,done,,,0.892,35.7068,129.3696,9.53,1466,615,829,244,0.565,318,176,2010-01-17,2013-12-26,1439.6,109.8,0.29,0.151
1058,7,6,done,,,0.914,35.7098,129.368,9.42,1172,527,150,87,0.128,316,196,2013-03-16,2014-04-28,407.2,58.5,0.57,0.363
487,7,7,done,,,0.922,35.732,129.4077,12.14,1528,1755,11,10,0.007,5,7,2019-06-10,2019-06-11,1.2,0.1,0.14,0.114
544,7,7,done,,,0.903,35.6932,129.3734,10.55,364,317,47,18,0.13,78,73,2016-09-15,2016-10-25,40.1,0.0,0.14,0.0
610,7,7,done,,,0.927,35.7479,129.2952,9.13,149,62,15,12,0.101,81,126,2017-04-29,2017-05-13,13.9,1.6,0.29,0.092
717,7,6,done,,,0.909,35.7833,129.3153,9.11,149,171,29,40,0.198,5,7,2019-09-23,2023-12-16,1544.8,92.5,0.17,0.361
921,6,6,done,,,0.919,35.7647,129.3755,12.12,962,734,33,10,0.034,116,112,2024-07-21,2024-07-21,0.6,0.0,0.83,0.06
1025,6,6,done,,,0.964,35.722,129.3662,10.03,707,182,30,13,0.042,41,25,2016-11-16,2017-01-19,64.3,3.7,0.0,0.144
678,6,6,done,,,0.947,35.7094,129.4046,12.9,169,111,30,8,0.179,9,7,2018-07-23,2018-07-26,3.8,0.3,0.33,0.445
712,6,6,done,,,0.94,35.7098,129.4028,12.73,448,513,30,10,0.067,6,7,2022-02-27,2023-07-02,490.4,0.1,0.5,0.095
480,6,6,done,,,0.936,35.7273,129.3523,9.43,223,146,17,18,0.076,6,8,2020-03-22,2020-03-30,8.2,0.8,0.33,0.498
859,6,6,done,,,0.906,35.7349,129.3015,11.47,63,170,16,6,0.246,5,7,2024-03-15,2024-03-16,0.6,0.0,0.17,0.245
249,6,4,done,,,0.886,35.7446,129.2946,8.32,211,255,36,22,0.169,17,19,2021-09-01,2021-12-29,119.1,0.6,0.25,0.398
592,5,5,done,,,0.915,35.7256,129.4093,11.58,281,305,15,27,0.052,69,79,2018-06-16,2018-06-19,2.9,0.8,0.4,0.67
221,5,5,done,,,0.924,35.8196,129.4028,13.31,121,246,9,5,0.072,5,8,2020-04-16,2020-04-18,2.2,0.2,0.0,0.189
38,5,5,done,,,0.913,35.803,129.2707,7.67,145,244,9,10,0.061,3,3,2020-10-25,2020-10-26,0.7,0.1,0.2,0.387
116,5,4,done,,,0.929,35.6873,129.365,10.61,233,281,14,8,0.061,32,41,2014-09-19,2014-09-20,1.0,0.1,0.0,0.014
470,5,5,done,,,0.945,35.6837,129.539,14.73,245,243,46,25,0.188,155,110,2012-11-30,2012-11-30,0.0,,1.0,0.46
1144,5,5,done,,,0.915,35.7668,129.3773,9.8,252,212,18,20,0.071,26,38,2019-01-05,2019-01-28,22.9,0.4,0.0,0.016
1143,5,5,done,,,0.882,35.7651,129.3765,9.58,1544,1812,44,90,0.029,86,115,2016-03-06,2019-02-17,1077.7,176.9,0.0,0.076
934,5,5,done,,,0.92,35.7616,129.3977,11.79,624,546,439,506,0.703,180,71,2020-08-27,2023-02-28,915.0,180.2,0.0,0.109
899,5,5,done,,,0.939,35.8002,129.4597,9.59,721,415,13,13,0.017,195,156,2022-07-05,2023-08-31,422.3,42.4,0.2,0.137
679,5,5,done,,,0.953,35.7085,129.4047,12.9,238,309,11,6,0.046,6,7,2018-04-20,2018-04-22,1.5,0.2,0.6,0.353
887,5,5,done,,,0.962,35.7512,129.4127,12.72,451,104,15,6,0.034,124,104,2020-02-18,2020-02-18,0.0,0.0,0.0,0.002
881,5,5,done,,,0.918,35.728,129.4101,11.97,338,387,46,35,0.135,136,136,2020-03-22,2021-01-29,313.0,4.2,0.6,0.704
604,5,5,done,,,0.858,35.7962,129.431,14.73,303,189,18,22,0.059,24,16,2024-03-07,2024-03-21,14.5,3.0,0.2,0.658
753,4,4,done,,,0.929,35.7421,129.4586,10.04,220,65,37,5,0.169,242,161,2015-07-20,2016-06-18,333.9,15.2,0.0,0.076
596,4,4,done,,,0.932,35.7313,129.4041,11.43,386,245,25,9,0.064,33,39,2016-09-26,2016-09-29,2.3,0.7,0.75,0.705
670,4,4,done,,,0.921,35.7757,129.3908,13.47,241,162,23,33,0.094,291,168,2015-08-25,2015-09-20,26.1,0.4,1.0,0.591
857,4,4,done,,,0.926,35.756,129.4072,10.6,1174,2314,156,165,0.133,460,382,2024-03-12,2024-05-05,54.2,0.6,0.5,0.553
915,4,3,done,,,0.891,35.7637,129.3933,8.23,259,6,139,102,0.536,169,134,2019-11-29,2023-10-20,1421.7,239.9,0.5,0.611
926,4,4,done,,,0.928,35.6947,129.3763,10.5,131,347,31,14,0.234,102,159,2021-04-26,2021-08-07,102.7,15.0,0.25,0.43
474,4,4,done,,,0.948,35.6852,129.3647,11.28,613,1478,29,39,0.047,133,199,2014-09-08,2014-09-28,19.7,5.1,0.5,0.584
922,4,4,done,,,0.944,35.7178,129.3638,9.95,254,204,80,11,0.314,88,86,2020-02-19,2020-12-31,315.7,67.8,0.75,0.142
202,4,4,done,,,0.94,35.6971,129.404,9.48,1628,803,226,107,0.139,216,129,2013-09-23,2013-11-18,56.0,12.2,0.5,0.254
327,4,4,done,,,0.884,35.8024,129.414,14.6,299,137,25,7,0.084,172,133,2015-08-01,2017-01-07,525.4,0.3,0.5,0.5
226,4,4,done,,,0.907,35.8319,129.406,10.89,375,23,10,24,0.027,11,19,2024-05-17,2024-08-31,105.7,19.9,0.25,0.108
277,4,4,done,,,0.938,35.8089,129.4222,14.26,258,335,36,26,0.138,507,366,2016-03-22,2017-03-23,366.3,10.2,0.25,0.5
222,4,4,done,,,0.909,35.823,129.4031,13.4,215,260,28,1,0.13,5,8,2021-04-14,2022-09-08,512.2,24.6,0.5,0.455
401,4,4,done,,,0.915,35.7856,129.3033,9.79,185,423,13,15,0.07,122,178,2017-08-10,2017-11-20,101.9,28.8,0.75,0.036
439,4,4,done,,,0.92,35.7336,129.4301,10.06,548,501,20,14,0.036,181,221,2015-11-06,2016-02-23,109.5,0.8,0.5,0.48
