Network,Code,Latitude,Longitude,Elevation
KS,EUSB,36.3561,128.6887,142.0
KS,GUWB,36.1824,128.5932,93.0
KS,JEJB,35.6374,129.4411,10.0
KS,YOCB,35.9771,128.9511,143.0
KG,BBK,35.5798,129.4356,45.2
KG,BOG,35.7014,129.2067,136.0
KG,CGD,35.6075,128.8427,115.6
KG,CGU,35.8194,129.2698,205.0
KG,CHS,36.1811,129.0881,240.0
KG,DKJ,35.9468,129.1089,173.2
KG,DUC,35.7445,129.1758,118.0
KG,GCN,35.817,129.1363,121.0
KG,HAK,35.9295,129.5004,15.8
KG,HDB,35.7337,129.399,145.5
KG,MAK,35.3702,129.1765,175.2
KG,MKL,35.7322,129.242,186.6
KG,POHB,36.0778,129.3533,99.0
KG,YSB,35.4681,129.0799,75.1
