event_idx,event_time,year,n_const,ml_const_inv,ml_const
0,2010-01-10 00:14:59.580000+00:00,2010,5,1.0321586796669135,1.035795199825296
1,2010-01-15 02:04:10.240000+00:00,2010,2,0.7658859443929441,0.39280214618391585
2,2010-01-17 02:44:30.210000+00:00,2010,3,0.6455575386048442,0.6491940587632269
3,2010-01-18 01:49:35.940000+00:00,2010,2,1.2281945401103451,0.7608539261029286
4,2010-01-18 03:19:29.740000+00:00,2010,4,1.4295990171525643,1.1338426425856853
5,2010-01-18 03:20:58.220000+00:00,2010,5,1.1499749269739734,1.1173207984480624
6,2010-02-02 09:04:48.410000+00:00,2010,4,1.0191736808887453,1.0175433244960677
7,2010-02-11 05:03:54.330000+00:00,2010,3,1.6190424182053063,1.017187085130352
8,2010-02-14 19:44:49.020000+00:00,2010,3,0.37990591406914515,0.3906447949508265
9,2010-02-19 21:36:02.770000+00:00,2010,5,0.9324427054504966,0.7368958829048595
10,2010-02-21 03:16:14.490000+00:00,2010,4,1.4147552170319366,1.3592229655512322
11,2010-02-24 20:34:06.900000+00:00,2010,3,1.1707552388031934,0.5432491802697474
12,2010-02-25 02:20:51.190000+00:00,2010,5,1.0691205152020855,1.072757035360468
13,2010-02-25 11:39:51.650000+00:00,2010,5,1.1937181425328458,1.1636472827317983
14,2010-03-02 19:45:14.380000+00:00,2010,2,0.7756708712787936,0.4025870730697654
15,2010-03-04 14:57:40.510000+00:00,2010,5,0.8697521469744707,0.9435647554514563
16,2010-03-20 11:44:57.620000+00:00,2010,2,0.609835598148336,0.23675179993930776
17,2010-03-22 01:38:07.600000+00:00,2010,4,1.3211017165208867,1.039096980028809
18,2010-03-27 08:08:26.480000+00:00,2010,4,1.0254962017712381,1.0238658453785605
19,2010-03-29 15:27:49.420000+00:00,2010,3,0.3890042751310274,0.27936042827559715
20,2010-03-30 03:41:52.900000+00:00,2010,5,1.555656780847502,1.5592933010058845
21,2010-03-31 17:56:19.240000+00:00,2010,5,1.880062223857687,1.9405664375688962
22,2010-04-01 19:47:43.370000+00:00,2010,5,0.7248205077984404,0.7299997877941218
23,2010-04-01 20:53:59.660000+00:00,2010,3,0.90246615607339,0.7175890446349958
24,2010-04-02 13:55:31.240000+00:00,2010,2,0.3285720712614278,0.27556840791290393
25,2010-04-03 15:47:54.780000+00:00,2010,3,0.2991632032225304,0.2607093715610036
26,2010-04-03 15:49:01.110000+00:00,2010,4,0.40690381398471576,0.37850166490871284
27,2010-04-04 12:21:12.390000+00:00,2010,4,0.534774206128402,0.5734987704460861
28,2010-04-04 18:14:29.890000+00:00,2010,4,0.716625324421159,0.7149949680284814
30,2010-04-09 00:37:22.020000+00:00,2010,2,0.6408628248617635,0.5878591615132397
31,2010-04-10 08:08:57.830000+00:00,2010,5,1.002872636468086,0.995975403524348
32,2010-04-10 17:59:48.330000+00:00,2010,2,0.13716798605541958,0.08416432270689578
33,2010-04-16 08:49:19.870000+00:00,2010,4,1.105886891553314,1.002535970398345
34,2010-04-19 07:00:03.370000+00:00,2010,4,1.0232400242685156,0.9352613941186003
35,2010-04-20 13:22:48.020000+00:00,2010,4,0.7190839926028889,0.6895036221856226
36,2010-05-06 07:40:43.210000+00:00,2010,5,1.053028889398214,0.9433850425427838
37,2010-05-07 15:09:27.990000+00:00,2010,3,0.3371814477938395,0.22753760093840925
38,2010-05-11 02:50:02.600000+00:00,2010,5,1.0918146734391632,1.0849174404954252
39,2010-05-20 11:06:04.670000+00:00,2010,2,0.5876616655545945,0.5346580022060707
40,2010-05-22 03:50:21.420000+00:00,2010,3,1.2028675756341585,1.1172426413247767
41,2010-05-27 16:29:58.210000+00:00,2010,3,1.0065667204961735,1.010203240654556
42,2010-05-27 19:06:41.900000+00:00,2010,5,1.446133146986701,1.337671786516388
43,2010-05-31 17:04:39.350000+00:00,2010,3,0.22307752356660426,0.22671404372498694
44,2010-06-07 08:23:42.820000+00:00,2010,4,0.8415500225587078,0.788546359210184
45,2010-06-11 00:59:56.150000+00:00,2010,3,0.7955870887385244,0.799223608896907
46,2010-06-11 05:44:34.630000+00:00,2010,3,0.9238732584940681,0.8142294116386378
47,2010-06-12 22:07:28.760000+00:00,2010,3,0.8783539973043111,0.774112409842106
48,2010-06-14 00:57:53.900000+00:00,2010,2,0.8381783360609235,0.7851746727123997
49,2010-06-14 19:32:37.950000+00:00,2010,5,0.6151496331168951,0.6082524001731572
50,2010-06-15 05:40:15.630000+00:00,2010,2,0.5145799869594997,0.4615763236109759
51,2010-06-16 20:44:10.440000+00:00,2010,5,0.8541187051215378,0.8577552252799204
52,2010-06-17 19:14:20.250000+00:00,2010,2,0.24435991916341904,0.19135625581489524
53,2010-06-18 06:14:34.270000+00:00,2010,4,1.2066168330488738,1.1136398089234836
54,2010-06-22 02:44:28.570000+00:00,2010,2,0.336516907687636,0.2835132443391122
55,2010-06-23 03:40:54.100000+00:00,2010,1,0.3001782555588987,0.19053440870346844
56,2010-06-23 04:19:34.010000+00:00,2010,1,0.41622792096376243,0.30658407410833216
57,2010-06-25 01:16:37.340000+00:00,2010,3,0.8915747389055422,0.8952112590639248
58,2010-06-27 02:50:44.420000+00:00,2010,2,0.7546076622399795,0.6073471830930673
59,2010-07-16 19:26:57.350000+00:00,2010,4,0.9372777113376427,0.9760022756553268
60,2010-07-22 03:46:47.610000+00:00,2010,2,0.47161646438186533,0.3757292921907993
61,2010-07-23 09:31:45.080000+00:00,2010,4,1.2260832175600234,1.1742046505971202
62,2010-07-30 07:53:18.520000+00:00,2010,4,0.8033203358305017,0.7198265669162578
63,2010-08-02 05:59:43.150000+00:00,2010,5,1.0313120458240919,0.9775221658991781
64,2010-08-02 19:26:50.760000+00:00,2010,3,0.9070274524075047,0.8394827832339046
65,2010-08-04 02:00:15.770000+00:00,2010,2,0.38787009058352373,0.33486642723499993
66,2010-08-04 02:56:51.520000+00:00,2010,1,0.6338062686397998,0.4489291572014057
67,2010-08-15 12:23:28.180000+00:00,2010,4,0.5838924606664289,0.5308887973179051
68,2010-08-17 05:20:51.680000+00:00,2010,1,0.6836209928063799,0.6872575129647626
69,2010-08-20 03:41:20.030000+00:00,2010,2,0.3051937046350056,0.2521900412864818
70,2010-08-23 06:00:41.780000+00:00,2010,4,0.7167573738527442,0.7462901058114864
71,2010-08-23 06:13:25.710000+00:00,2010,4,0.8206606343849163,0.776901406588979
72,2010-08-31 14:40:58.300000+00:00,2010,3,0.4242736175521715,0.4810482246737467
73,2010-09-03 08:55:47.840000+00:00,2010,5,1.3416777008784522,1.3347804679347142
74,2010-09-06 06:58:02.040000+00:00,2010,5,0.923333708759157,0.8753265350112113
75,2010-09-17 05:38:22.340000+00:00,2010,2,0.7611783508054429,0.7081746874569191
76,2010-09-17 09:26:48.900000+00:00,2010,5,1.0836685898512572,1.0749795598662224
77,2010-09-17 12:31:44.140000+00:00,2010,4,1.0365902455605358,1.0349598891678582
78,2010-09-18 21:33:55.370000+00:00,2010,1,0.22268099655916135,0.22631751671754402
79,2010-09-19 19:14:23.020000+00:00,2010,5,1.3713592124218372,1.4375984593562898
80,2010-09-20 03:12:27.110000+00:00,2010,5,0.819393539884989,0.7873826023862124
81,2010-09-25 20:48:10.160000+00:00,2010,4,1.3726851382135448,1.358540365453634
82,2010-10-11 03:09:14.770000+00:00,2010,4,0.6426279872666478,0.6305411686283269
83,2010-10-11 14:00:35.290000+00:00,2010,1,0.48634876329053367,0.3767049164351034
84,2010-10-16 03:03:19.600000+00:00,2010,3,0.5099727287594522,0.41080823779633585
85,2010-10-25 18:41:40.480000+00:00,2010,2,0.6864114773268039,0.63340781397828
86,2010-11-01 03:38:32.280000+00:00,2010,3,0.34348655351602453,0.3450917387601902
87,2010-11-01 17:53:30.440000+00:00,2010,3,0.5011871154710019,0.5749997239479876
88,2010-11-02 05:40:41.620000+00:00,2010,3,1.4163250293208383,1.4199615494792208
89,2010-11-04 03:02:49.550000+00:00,2010,4,0.823963356513179,0.7709596931646552
90,2010-11-15 05:33:54.980000+00:00,2010,4,1.1252653769050935,1.123635020512416
92,2010-11-18 05:33:54.590000+00:00,2010,3,0.922309862737739,0.9259463828961216
93,2010-11-18 10:05:43.540000+00:00,2010,4,1.106930628476058,1.1053002720833804
94,2010-11-21 23:08:56.760000+00:00,2010,1,0.40645306661009134,0.29680921975466107
95,2010-11-25 14:14:04.010000+00:00,2010,3,0.6759818618101054,0.6796183819684881
98,2010-12-05 19:48:18.350000+00:00,2010,3,0.6612404069753512,0.6648769271337339
99,2010-12-05 19:52:48.770000+00:00,2010,1,0.5421354824413558,0.4324916355859255
100,2010-12-10 19:26:01.460000+00:00,2010,4,0.6966889380712609,0.6950585816785833
101,2010-12-13 14:09:37.350000+00:00,2010,4,0.8239705807359797,0.8223402243433021
102,2010-12-13 15:21:42.490000+00:00,2010,3,0.501162178197502,0.494264945253764
103,2010-12-13 15:26:31.720000+00:00,2010,5,1.0523988718884218,1.056032098452852
104,2010-12-15 02:36:23.390000+00:00,2010,2,0.6999834243876486,0.7334411121542725
105,2010-12-17 06:38:29.920000+00:00,2010,4,0.568270497072511,0.6017281848391349
106,2010-12-19 06:35:58.090000+00:00,2010,1,0.19028086771803313,0.1833836347742952
107,2010-12-19 12:53:04.830000+00:00,2010,2,0.04800018764499135,-0.0478869845460747
108,2010-12-20 06:54:47.340000+00:00,2010,4,0.9061046816314084,0.9395623693980324
109,2010-12-21 02:46:13.320000+00:00,2010,5,0.9795096788743207,0.9726124459305828
110,2010-12-21 21:28:55.570000+00:00,2010,1,0.7035759428191195,0.5939320959636892
111,2010-12-22 11:50:48.660000+00:00,2010,1,0.6132382402550376,0.5035943933996073
112,2010-12-25 07:47:17.010000+00:00,2010,2,3.6531354466661643,3.635219827476942
113,2011-01-06 16:31:38.920000+00:00,2011,3,0.42433112263327954,0.4279676427916622
114,2011-01-06 16:51:18.370000+00:00,2011,3,0.34624191039309804,0.33934467744936014
115,2011-01-08 16:39:35.050000+00:00,2011,4,0.5120043522748854,0.4590006889263616
116,2011-01-13 02:59:41.640000+00:00,2011,2,0.5119396106244387,0.4589359472759149
117,2011-01-13 23:41:07.960000+00:00,2011,2,0.42924270655474706,0.462700394321371
118,2011-01-19 18:32:32.650000+00:00,2011,4,0.6153085059249289,0.5902249147719092
119,2011-01-20 12:01:15.730000+00:00,2011,1,0.18799520675941303,0.1810979738156751
121,2011-02-02 22:20:06.790000+00:00,2011,3,0.21011130984577356,0.28392391832275926
122,2011-02-06 09:48:19.040000+00:00,2011,2,0.2693347491912702,0.21633108584274638
123,2011-02-20 22:46:27.380000+00:00,2011,4,0.882801705122283,0.9215262694399671
124,2011-02-22 18:00:38.460000+00:00,2011,4,0.48665445272506813,0.5113180517961298
126,2011-02-23 07:52:43.930000+00:00,2011,3,1.4205067461947511,1.4241432663531337
127,2011-02-23 14:38:04.250000+00:00,2011,1,0.013782239588427444,0.0068850066446895265
128,2011-02-24 11:36:24+00:00,2011,5,1.6339692685344704,1.6270720355907324
129,2011-02-24 11:47:54.720000+00:00,2011,2,0.5145977144930444,0.5533222788107286
130,2011-02-24 21:55:15.910000+00:00,2011,3,0.5764186034107477,0.5695213704670098
131,2011-03-02 03:42:39.890000+00:00,2011,3,0.8549108000241121,0.670033688585718
