event_idx,event_time,year,n_used,ml_ufraw,ml_ufcorr
1,2010-01-15 02:04:10.240000+00:00,2010,2,0.7884705548173823,0.42045700769258015
2,2010-01-17 02:44:30.210000+00:00,2010,3,0.6349319336797317,0.6770026678164267
3,2010-01-18 01:49:35.940000+00:00,2010,2,1.256062728107615,0.8617204275000265
7,2010-02-11 05:03:54.330000+00:00,2010,3,1.6189839684258571,1.0449956941835519
8,2010-02-14 19:44:49.020000+00:00,2010,3,0.3692803091440326,0.4799705541983117
11,2010-02-24 20:34:06.900000+00:00,2010,3,1.1706967890237443,0.5707502942338762
13,2010-02-25 11:39:51.650000+00:00,2010,5,1.1830925376077333,1.2251632717444283
14,2010-03-02 19:45:14.380000+00:00,2010,2,0.7982554817032318,0.4302419345784297
16,2010-03-20 11:44:57.620000+00:00,2010,2,0.6324202085727741,0.26440666144797204
19,2010-03-29 15:27:49.420000+00:00,2010,3,0.4447991009050163,0.1586454880165375
21,2010-03-31 17:56:19.240000+00:00,2010,5,1.8358254661267024,1.868392466082379
22,2010-04-01 19:47:43.370000+00:00,2010,5,0.7141949028733279,0.819325547041607
23,2010-04-01 20:53:59.660000+00:00,2010,3,0.9024077062939408,0.6764347149447283
24,2010-04-02 13:55:31.240000+00:00,2010,2,0.35115668168586595,0.22911524230997404
25,2010-04-03 15:47:54.780000+00:00,2010,3,0.2991047534430813,0.28851798061420325
26,2010-04-03 15:49:01.110000+00:00,2010,4,0.4015617866324349,0.43603190971042516
30,2010-04-09 00:37:22.020000+00:00,2010,2,0.6634474352862016,0.5414059959103098
32,2010-04-10 17:59:48.330000+00:00,2010,2,0.15975259647985773,0.037711157103965845
35,2010-04-20 13:22:48.020000+00:00,2010,4,0.7121799832374767,0.6738090316798353
37,2010-05-07 15:09:27.990000+00:00,2010,3,0.3929762735678284,0.10682266067934959
39,2010-05-20 11:06:04.670000+00:00,2010,2,0.6102462759790328,0.48820483660314085
41,2010-05-27 16:29:58.210000+00:00,2010,3,0.9959411155710608,1.0380118497077557
43,2010-05-31 17:04:39.350000+00:00,2010,3,0.2124519186414917,0.2545226527781867
47,2010-06-12 22:07:28.760000+00:00,2010,3,0.8677283923791985,0.7213506854931919
48,2010-06-14 00:57:53.900000+00:00,2010,2,0.8607629464853617,0.7387215071094698
52,2010-06-17 19:14:20.250000+00:00,2010,2,0.2669445295878572,0.1449030902119653
54,2010-06-22 02:44:28.570000+00:00,2010,2,0.35910151811207414,0.23706007873618223
55,2010-06-23 03:40:54.100000+00:00,2010,1,0.3559730813328876,0.06981946844440878
56,2010-06-23 04:19:34.010000+00:00,2010,1,0.4720227467377513,0.1858691338492725
