event_idx,event_time,lat,lon,depth,x,y,z,ex,ey,ez,nccp,nccs,nctp,ncts,cid,is_dtcc,n_used,ml_ufraw_reloc,ml_ufcorr_reloc,ml_ufcorr_old,dml
1,2010-01-15 02:04:10.269999+00:00,35.77371,129.373698,13.009,-559.3,2182.0,1683.0,0.4,0.4,0.4,0,0,470,481,1,False,2.0,0.7869730383627529,0.407185020778306,0.4204570076925801,-0.013271986914274114
2,2010-01-17 02:44:30.260000+00:00,35.727201,129.365658,10.033,-1286.8,-2978.4,-1293.9,0.1,0.1,0.1,70,83,686,696,1,True,3.0,0.6260470021828339,0.6636044654261171,0.6770026678164267,-0.013398202390309644
3,2010-01-18 01:49:35.909999+00:00,35.752258,129.397664,11.281,1608.2,-198.2,-45.8,0.2,0.4,0.2,0,0,188,193,1,False,2.0,1.29822864083137,0.874902188224381,0.8617204275000265,0.013181760724354508
7,2010-02-11 05:03:54.320000+00:00,35.775529,129.368612,14.134,-1019.3,2383.8,2807.4,0.6,0.5,0.3,2,0,433,443,1,True,3.0,1.6424771874621011,1.0356508075797461,1.044995694183552,-0.009344886603805946
8,2010-02-14 19:44:49.100000+00:00,35.713839,129.36639,9.617,-1220.6,-4461.0,-1709.9,0.5,0.8,0.2,1,2,610,611,1,True,3.0,0.35465605829209546,0.44684060361490285,0.4799705541983117,-0.03312995058340884
11,2010-02-24 20:34:07+00:00,35.713452,129.366439,9.611,-1216.2,-4503.9,-1715.4,0.5,0.8,0.2,1,2,596,597,1,True,3.0,1.1981506650031941,0.5444976598208295,0.5707502942338762,-0.026252634413046705
13,2010-02-25 11:39:51.670000+00:00,35.790682,129.451839,10.476,6506.5,4065.1,-850.4,0.8,1.2,1.2,1,0,224,243,1,True,5.0,1.1752536872432318,1.2128111504865149,1.2251632717444283,-0.012352121257913407
14,2010-03-02 19:45:14.359999+00:00,35.750891,129.395728,14.122,1433.1,-349.9,2795.2,0.3,0.7,0.3,0,0,388,387,1,False,2.0,0.8048106779870168,0.42502266040256986,0.4302419345784297,-0.005219274175859823
16,2010-03-20 11:44:57.649999+00:00,35.726042,129.356413,9.203,-2123.1,-3107.1,-2123.1,0.1,0.3,0.1,28,9,568,569,1,True,2.0,0.6330639230001398,0.2532759054156929,0.264406661447972,-0.011130756032279088
19,2010-03-29 15:27:49.490000+00:00,35.690222,129.35516,11.261,-2236.9,-7081.4,-65.7,0.2,0.2,0.1,5,9,497,498,1,True,3.0,0.4418641783185615,0.1483047034198151,0.1586454880165375,-0.010340784596722385
21,2010-03-31 17:56:18.879999+00:00,35.808321,129.277051,12.567,-9297.3,6022.2,1240.4,0.5,0.9,0.8,0,0,29,21,1,False,5.0,1.8839172163019864,1.9420331557073867,1.868392466082379,0.0736406896250077
22,2010-04-01 19:47:43.479999+00:00,35.681535,129.356331,10.565,-2131.0,-8045.3,-761.6,0.2,0.3,0.2,0,3,453,448,1,True,5.0,0.6992942708318499,0.7935827029885105,0.819325547041607,-0.02574284405309646
23,2010-04-01 20:53:59.740000+00:00,35.684387,129.355632,10.913,-2194.3,-7728.8,-413.8,0.6,0.7,0.3,0,2,462,461,1,True,3.0,0.9256428389624121,0.6663506504811147,0.6764347149447283,-0.01008406446361354
24,2010-04-02 13:55:31.289999+00:00,35.695284,129.356396,11.543,-2125.0,-6519.8,217.1,0.3,0.4,0.2,1,1,533,535,1,True,2.0,0.34723335295780056,0.2192323471300689,0.229115242309974,-0.009882895179905093
25,2010-04-03 15:47:54.859999+00:00,35.689966,129.356689,11.146,-2098.5,-7109.8,-180.5,0.2,0.2,0.1,4,13,500,502,1,True,3.0,0.3241330531907831,0.26941415311573924,0.2885179806142032,-0.019103827498463954
26,2010-04-03 15:49:01.189999+00:00,35.690002,129.356502,11.165,-2115.4,-7105.8,-161.6,0.2,0.2,0.1,5,12,497,499,1,True,4.0,0.4071083928795892,0.41359632818131364,0.4360319097104251,-0.02243558152911146
30,2010-04-09 00:37:22.050000+00:00,35.694084,129.357943,11.384,-1985.1,-6652.9,57.9,0.3,0.4,0.2,1,0,535,534,1,True,2.0,0.6628704187827947,0.5348694129550631,0.5414059959103098,-0.006536582955246728
32,2010-04-10 17:59:48.420000+00:00,35.68033,129.356136,10.456,-2148.7,-8178.9,-870.3,0.2,0.3,0.2,0,3,450,448,1,True,2.0,0.14901427199170192,0.02101326616397027,0.0377111571039658,-0.016697890939995533
35,2010-04-20 13:22:48.060000+00:00,35.701803,129.39222,12.182,1116.2,-5796.5,856.0,0.4,0.7,0.3,0,0,499,500,1,False,4.0,0.7103602097337546,0.6607332097636528,0.6738090316798353,-0.013075821916182506
37,2010-05-07 15:09:28.089999+00:00,35.713774,129.298438,7.768,-7368.0,-4468.3,-3558.1,0.2,0.7,0.4,0,0,175,145,1,False,3.0,0.3767377257876565,0.08317825088891012,0.1068226606793495,-0.023644409790439372
39,2010-05-20 11:06:04.690000+00:00,35.72703,129.351253,11.035,-2589.8,-2997.3,-291.8,0.2,0.5,0.2,0,0,557,559,1,False,2.0,0.614085277886671,0.48608427205893934,0.4882048366031408,-0.002120564544201453
41,2010-05-27 16:29:58.259999+00:00,35.727132,129.365837,10.023,-1270.6,-2986.1,-1303.8,0.1,0.1,0.1,75,84,662,674,1,True,3.0,0.9840755479613623,1.0216330112046454,1.0380118497077555,-0.01637883850311006
43,2010-05-31 17:04:39.280000+00:00,35.751339,129.391781,9.373,1076.1,-300.2,-1953.5,0.5,1.4,0.5,0,0,235,385,1,False,3.0,0.21830247256842394,0.2558599358117071,0.2545226527781867,0.0013372830335203756
47,2010-06-12 22:07:28.820000+00:00,35.753597,129.380705,12.093,74.3,-49.7,766.4,0.1,0.4,0.2,4,22,502,498,1,True,3.0,0.8568148173362857,0.7050980373956548,0.7213506854931919,-0.016252648097537126
48,2010-06-14 00:57:53.960000+00:00,35.756014,129.380802,12.043,83.2,218.5,716.7,0.1,0.3,0.1,3,19,345,340,1,True,2.0,0.853387379427658,0.7253863735999263,0.7387215071094698,-0.013335133509543518
52,2010-06-17 19:14:20.320000+00:00,35.720894,129.363826,9.987,-1452.5,-3678.2,-1339.5,0.1,0.1,0.1,29,54,641,644,1,True,2.0,0.25944493371591637,0.1314439278881847,0.1449030902119653,-0.013459162323780582
54,2010-06-22 02:44:28.620000+00:00,35.677771,129.306022,12.101,-6683.4,-8462.9,774.5,0.5,1.1,1.1,0,1,17,16,1,True,2.0,0.35213355721192974,0.22413255138419808,0.2370600787361822,-0.01292752735198413
55,2010-06-23 03:40:54.119999+00:00,35.797477,129.348535,16.049,-2834.4,4819.0,4722.1,0.2,0.3,0.3,0,0,193,195,1,False,1.0,0.3561618617161548,0.06260238681740843,0.0698194684444087,-0.007217081627000271
56,2010-06-23 04:19:34.009999+00:00,35.778813,129.352694,16.446,-2458.7,2748.1,5120.1,0.4,0.7,0.4,0,0,209,211,1,False,1.0,0.4757227195224496,0.1821632446237032,0.1858691338492725,-0.0037058892255693032
58,2010-06-27 02:50:44.490000+00:00,35.809412,129.34279,14.693,-3353.7,6143.2,3367.0,0.2,0.2,0.3,0,0,187,191,1,False,2.0,0.7761975710834815,0.6046581302332079,0.634105657378571,-0.02944752714536314
59,2010-07-16 19:26:57.399999+00:00,35.721082,129.357104,10.594,-2060.6,-3657.4,-732.3,0.2,0.5,0.2,0,0,755,767,1,False,4.0,0.8973204111575505,1.0153951521182658,1.0345694598056694,-0.01917430768740358
63,2010-08-02 05:59:43.280000+00:00,35.842391,129.263118,9.692,-10554.7,9802.4,-1634.5,0.3,0.4,0.6,0,0,87,92,1,False,5.0,0.9908468082980122,0.9563863884411357,0.9826074362990592,-0.026221047857923563
65,2010-08-04 02:00:15.789999+00:00,35.728463,129.365885,10.129,-1266.2,-2838.4,-1197.4,0.1,0.2,0.1,20,80,712,716,1,True,2.0,0.4092674924520098,0.2812664866242781,0.2884132616320699,-0.007146775007791761
67,2010-08-15 12:23:28.230000+00:00,35.819185,129.390812,12.398,988.1,7227.7,1071.5,0.3,0.3,0.4,0,0,529,625,1,False,4.0,0.5897184010688624,0.5273811146813197,0.5382625537048404,-0.01088143902352079
69,2010-08-20 03:41:20.079999+00:00,35.801469,129.300977,9.439,-7134.4,5261.9,-1887.6,0.5,0.7,0.7,0,0,363,346,1,False,2.0,0.3157801343684964,0.18777912854076476,0.2057368756835518,-0.017957747142787056
73,2010-09-03 08:55:47.929999+00:00,35.727999,129.365625,10.048,-1289.7,-2889.9,-1278.4,0.1,0.2,0.1,72,66,558,541,1,True,5.0,1.3356505079078116,1.3732079711510947,1.3805660212094353,-0.0073580500583405595
77,2010-09-17 12:31:44.200000+00:00,35.727706,129.4052,13.208,2290.2,-2922.4,1882.0,0.3,0.4,0.3,0,4,723,691,1,True,4.0,1.0225434505978674,1.0601009138411506,1.0717569703318186,-0.011656056490668032
78,2010-09-18 21:33:55.560000+00:00,35.77771,129.261043,6.665,-10746.6,2625.8,-4661.3,0.4,0.8,0.6,0,0,29,14,1,False,1.0,0.15417316232555978,0.19173062556884288,0.2541261257707438,-0.062395500201900905
81,2010-09-25 20:48:10.199999+00:00,35.727254,129.405168,13.283,2287.2,-2972.5,1956.2,0.3,0.4,0.3,0,4,639,677,1,True,4.0,1.3679690958367214,1.4163377955343104,1.4260960217147371,-0.009758226180426766
83,2010-10-11 14:00:35.310000+00:00,35.715601,129.40437,12.875,2215.2,-4265.5,1548.8,0.2,0.6,0.2,5,23,378,384,1,True,1.0,0.5414604063056305,0.24790093140688413,0.2559899761760437,-0.008089044769159559
86,2010-11-01 03:38:32.329999+00:00,35.785844,129.303507,10.127,-6906.2,3528.3,-1199.6,0.5,0.8,0.7,0,0,379,364,1,False,3.0,0.34091987357682974,0.35343401559808707,0.37290034781339,-0.019466332215302917
87,2010-11-01 17:53:30.480000+00:00,35.889864,129.430119,11.29,4539.6,15069.8,-36.1,0.2,0.2,0.3,0,0,23,26,1,False,3.0,0.45362459330738725,0.6354381344913724,0.6563663232881127,-0.0209281887967403
92,2010-11-18 05:33:54.649999+00:00,35.727128,129.366545,10.1,-1206.6,-2986.5,-1226.7,0.1,0.1,0.1,67,92,590,612,1,True,4.0,0.9301234834201829,0.960507825163371,0.9774670443222804,-0.01695921915890941
93,2010-11-18 10:05:43.640000+00:00,35.727214,129.366553,10.094,-1205.8,-2977.0,-1232.5,0.1,0.1,0.1,38,112,595,621,1,True,5.0,1.1134558947377937,1.1366671149808867,1.1540615852081244,-0.017394470227237724
94,2010-11-21 23:08:56.840000+00:00,35.717342,129.362907,10.033,-1535.7,-4072.3,-1293.1,0.5,1.7,0.2,3,19,610,611,1,True,1.0,0.45253409007379153,0.15897461517504513,0.1760942794956014,-0.017119664320556283
98,2010-12-05 19:48:18.399999+00:00,35.758931,129.378328,12.474,-140.6,542.2,1147.5,0.2,0.4,0.2,3,10,501,538,1,True,4.0,0.6442260156136835,0.6746103573568716,0.6926855369459246,-0.018075179589053025
99,2010-12-05 19:52:48.759999+00:00,35.753271,129.37854,12.699,-121.4,-85.8,1372.4,0.3,0.8,0.3,0,8,498,495,1,True,2.0,0.4288601266434101,0.29368599931558337,0.2970749220035925,-0.0033889226880091106
100,2010-12-10 19:26:01.560000+00:00,35.717631,129.364046,9.781,-1432.6,-4040.3,-1545.2,0.1,0.1,0.1,40,36,666,665,1,True,5.0,0.6296061835354034,0.6528174037784964,0.6727090782379905,-0.019891674459494135
101,2010-12-13 14:09:37.439999+00:00,35.68033,129.363867,8.563,-1449.2,-8178.9,-2763.3,0.4,0.5,0.4,0,0,507,465,1,False,5.0,0.7655491807604167,0.7887604010035096,0.806734944474752,-0.017974543471242388
102,2010-12-13 15:21:42.469999+00:00,35.706795,129.384212,12.691,391.7,-5242.5,1365.0,0.1,0.4,0.3,0,0,499,508,1,False,4.0,0.5008269921815401,0.5312113339247282,0.5390368866691739,-0.00782555274444574
103,2010-12-13 15:26:31.710000+00:00,35.71169,129.382878,12.952,270.9,-4699.4,1626.0,0.3,0.7,0.4,0,0,152,154,1,False,6.0,1.0426866731677364,1.0802441364110196,1.0928308264137887,-0.01258669000276913
110,2010-12-21 21:28:55.640000+00:00,35.704456,129.351481,9.915,-2569.5,-5502.1,-1411.7,1.3,2.1,0.9,2,1,959,876,1,True,1.0,0.7597642416425101,0.4662047667437637,0.4732171557046296,-0.007012388960865867
111,2010-12-22 11:50:48.710000+00:00,35.710807,129.353491,9.653,-2387.6,-4797.4,-1673.8,0.2,0.4,0.3,51,1,599,596,1,True,1.0,0.6676141319760316,0.3740546570772852,0.3828794531405476,-0.008824796063262419
113,2011-01-06 16:31:38.990000+00:00,35.676725,129.364705,8.109,-1373.4,-8578.9,-3217.4,0.4,0.6,0.4,0,0,386,381,1,False,4.0,0.40093495643186006,0.4313192981750481,0.4502438265702115,-0.018924528395163398
