event_idx,event_time,lat,lon,depth,x,y,z,ex,ey,ez,nccp,nccs,nctp,ncts,cid,is_dtcc,n_used,ml_ufraw_reloc,ml_ufcorr_reloc,ml_ufcorr_old,dml
1,2010-01-15 02:04:10.349999+00:00,35.767163,129.371794,12.079,-731.6,1455.6,752.9,0.5,0.6,0.6,0,0,487,498,1,False,2.0,0.7459308516596346,0.3738076437700853,0.4204570076925801,-0.0466493639224948
2,2010-01-17 02:44:30.129999+00:00,35.728121,129.367961,10.058,-1078.5,-2876.4,-1268.8,0.1,0.1,0.1,77,91,686,697,1,True,3.0,0.6329656035398705,0.6700526601478374,0.6770026678164267,-0.006950007668589331
3,2010-01-18 01:49:35.890000+00:00,35.749622,129.397453,10.799,1589.1,-490.8,-527.7,0.3,0.7,0.4,0,0,78,79,1,False,2.0,1.2813179573754245,0.8613060200148288,0.8617204275000265,-0.00041440748519772086
7,2010-02-11 05:03:54.399999+00:00,35.770203,129.367017,13.186,-1163.5,1792.8,1859.5,0.4,0.7,0.4,3,1,464,474,1,True,3.0,1.6315237739783717,1.0034956325306719,1.044995694183552,-0.04150006165288023
8,2010-02-14 19:44:48.960000+00:00,35.724829,129.369401,9.92,-948.2,-3241.6,-1406.7,0.1,0.4,0.1,11,83,595,596,1,True,3.0,0.36640709938065785,0.4355299099166559,0.4799705541983117,-0.04444064428165578
11,2010-02-24 20:34:06.860000+00:00,35.72535,129.369458,9.933,-943.0,-3183.8,-1393.8,0.1,0.3,0.1,34,96,581,583,1,True,3.0,1.216431148842422,0.5619627234652095,0.5707502942338762,-0.008787570768666764
13,2010-02-25 11:39:51.789999+00:00,35.779679,129.445711,9.69,5952.8,2844.3,-1636.0,0.2,0.4,0.3,0,0,235,256,1,False,5.0,1.1503214457598179,1.1874085023677843,1.2251632717444283,-0.037754769376644015
14,2010-03-02 19:45:14.439999+00:00,35.768486,129.390877,12.612,994.3,1602.3,1285.4,0.2,0.2,0.2,7,5,426,426,1,True,2.0,0.7646026264327253,0.392479418543176,0.4302419345784297,-0.03776251603525371
16,2010-03-20 11:44:57.520000+00:00,35.729187,129.358496,9.342,-1934.6,-2758.1,-1984.3,0.1,0.2,0.2,16,5,570,573,1,True,2.0,0.6390213344602023,0.266898126570653,0.264406661447972,0.0024914651226810025
19,2010-03-29 15:27:49.329999+00:00,35.699219,129.357585,11.862,-2017.4,-6083.2,535.2,0.2,0.3,0.1,10,6,517,521,1,True,3.0,0.44847892448420046,0.17182628899626762,0.1586454880165375,0.013180800979730123
22,2010-04-01 19:47:43.320000+00:00,35.69517,129.359245,11.547,-1867.2,-6532.4,220.6,0.2,0.5,0.2,6,7,477,477,1,True,5.0,0.7143908117941986,0.7811286906893142,0.819325547041607,-0.03819685635229275
23,2010-04-01 20:53:59.600000+00:00,35.697282,129.359017,11.657,-1887.8,-6298.1,330.6,0.2,0.3,0.1,13,10,486,489,1,True,3.0,0.9483632890587408,0.6848974115336166,0.6764347149447283,0.008462696588888319
