event_idx,event_time,lat,lon,depth,x,y,z,ex,ey,ez,nccp,nccs,nctp,ncts,cid,is_dtcc,n_used,ml_ufraw_reloc,ml_ufcorr_reloc,ml_ufcorr_old,dml
1,2010-01-15 02:04:10.339999+00:00,35.765129,129.370662,12.013,-833.9,1229.8,687.0,0.5,0.8,0.6,1,0,485,492,1,True,2.0,0.7404095484456722,0.36566290802518875,0.4204570076925801,-0.05479409966739135
2,2010-01-17 02:44:30.089999+00:00,35.736043,129.368156,10.132,-1060.7,-1997.3,-1194.8,0.1,0.2,0.1,72,99,717,718,1,True,3.0,0.6354497573867992,0.6703295306945718,0.6770026678164267,-0.006673137121854911
3,2010-01-18 01:49:35.859999+00:00,35.76272,129.394661,10.595,1336.6,962.5,-731.8,0.9,1.6,1.0,1,0,186,141,1,True,2.0,1.2908640852074988,0.8692056957506173,0.8617204275000265,0.007485268250590815
7,2010-02-11 05:03:54.409999+00:00,35.767216,129.365698,13.111,-1282.8,1461.4,1784.4,0.2,0.3,0.2,4,5,470,473,1,True,3.0,1.6268838161697305,0.9941073074742244,1.044995694183552,-0.050888386709327715
8,2010-02-14 19:44:48.920000+00:00,35.733378,129.369629,10.052,-927.5,-2293.0,-1273.9,0.1,0.3,0.2,12,93,603,600,1,True,3.0,0.36965925805742716,0.41138007728756976,0.4799705541983117,-0.06859047691074194
11,2010-02-24 20:34:06.820000+00:00,35.733541,129.36967,10.047,-923.8,-2275.0,-1279.0,0.1,0.3,0.2,24,98,592,588,1,True,3.0,1.2267829063082802,0.5627461962787014,0.5707502942338762,-0.008004097955174871
13,2010-02-25 11:39:51.850000+00:00,35.770508,129.439591,9.941,5399.7,1826.7,-1385.7,0.3,0.4,0.4,2,0,272,290,1,True,5.0,1.1422329881717506,1.177112761479523,1.2251632717444283,-0.048050510264905366
14,2010-03-02 19:45:14.480000+00:00,35.76606,129.388371,12.463,767.6,1333.2,1136.7,0.2,0.3,0.2,4,5,446,442,1,True,2.0,0.754527668262015,0.37978102784153156,0.4302419345784297,-0.050460906736898126
16,2010-03-20 11:44:57.469999+00:00,35.732869,129.358553,9.495,-1929.4,-2349.5,-1831.3,0.4,1.9,0.6,2,0,584,585,1,True,2.0,0.6452213340665297,0.27047469364604626,0.264406661447972,0.00606803219807428
19,2010-03-29 15:27:49.299999+00:00,35.709863,129.357316,12.256,-2041.6,-4902.1,929.4,0.1,0.3,0.1,11,8,520,521,1,True,3.0,0.4522018726818726,0.18609710714334105,0.1586454880165375,0.02745161912680355
