event_idx,time,lat,lon,depth,num,gap,rms,erh,erz,qual,year,cluster,magnitude,magnitude_std,n_used,n_total,snr_median,mag_status,ml_all,mv_nP,mv_app,mv_rms,mv_rho,mv_inlier,coherence_fail
1044,2015-09-23 02:53:29.840,35.7572,129.2576,2.69,9,118,0.39,1.1,4.3,C,2015,-1,0.8394790116713664,0.4371393268505187,3,7,7.8233089278585775,ok,0.8394790116713664,5.0,8.599611710448228,1.180251143330736,0.7,0.4,True
1092,2015-11-13 11:04:24.720,35.8039,129.4183,14.23,7,149,0.04,0.9,1.1,B,2015,50,2.744383109575534,1.1688841143664963,7,7,284.6170526226206,ok,2.744383109575534,9.0,6.971960753882062,2.8142481192683424,0.75,0.0,True
1382,2016-08-25 03:02:11.290,35.4485,129.1259,6.97,7,146,0.05,0.6,0.8,B,2016,-1,0.5808040117101423,0.3091250450553056,4,13,4.589237857147266,ok,0.5808040117101423,5.0,8.961447804756686,1.4728948818185408,0.6,0.4,True
1459,2016-09-12 11:13:38.960,35.7679,129.1802,14.25,6,142,0.01,1.0,1.4,B,2016,34,1.1060084547772189,0.7870894595380898,2,13,2.89558566870094,ok,1.1060084547772189,5.0,9.264453376130692,10.578259185219087,0.0,0.0,True
1461,2016-09-12 11:14:09.020,35.7632,129.1935,16.34,19,92,0.06,0.4,0.7,B,2016,34,1.0304492835416417,0.1155450567213036,8,13,9.63394957025302,ok,1.0088574028106756,7.0,8.197069981230584,9.91715324142075,0.4642857142857144,0.0,True
1470,2016-09-12 11:20:02.380,35.7672,129.1949,14.26,7,153,0.05,0.6,1.3,B,2016,34,0.3469216274259338,0.0169559281017367,2,13,3.7714130631905327,ok,0.3469216274259338,6.0,1.854915035715945,7.117731701841191,0.6571428571428573,0.3333333333333333,True
1495,2016-09-12 11:38:07.400,35.753,129.1904,14.68,14,98,0.06,0.4,0.7,B,2016,34,2.1747585543141863,0.1366662555156083,2,13,3.208406124904951,ok,2.1747585543141863,5.0,7.636286477032087,5.5609787973918055,0.49999999999999994,0.0,True
1503,2016-09-12 11:41:54.810,35.7602,129.1901,13.61,15,117,0.06,0.5,0.7,B,2016,34,1.3336163697619503,0.2177510979278034,10,13,5.33569674961382,ok,1.3336163697619503,5.0,7.314698932757685,11.538790669579548,0.7,0.0,True
1506,2016-09-12 11:42:27.280,35.7849,129.2005,13.91,11,83,0.07,0.5,0.9,A,2016,34,2.2126188057477485,0.2171630447730463,12,13,47.20385688015197,ok,2.1952353564756204,12.0,4.583407392045768,2.985297481927591,0.8881118881118882,0.4166666666666667,True
1507,2016-09-12 11:42:32.380,35.7818,129.2049,14.49,19,71,0.08,0.4,0.7,A,2016,34,2.264220254354809,0.2478865270340537,8,13,14.341971798875564,ok,2.19684068152797,10.0,4.6534050978731045,2.259817288148899,0.6848484848484848,0.0,True
