Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Magnitude,Depth
2010,1,15,11,4,10,35.7524,129.3791,0.79,13.53
2010,1,17,11,44,30,35.7058,129.3696,0.63,9.53
2010,1,18,10,49,35,35.7021,129.405,1.26,10.27
2010,2,11,14,3,54,35.7487,129.3741,1.62,14.61
2010,2,15,4,44,49,35.6891,129.3699,0.92,8.79
2010,2,25,5,34,6,35.6897,129.3706,1.17,8.84
2010,2,25,20,39,51,35.795,129.46,1.26,9.38
2010,3,3,4,45,14,35.727,129.4008,0.8,13.89
2010,3,20,20,44,57,35.7012,129.36,0.63,8.47
2010,3,30,0,27,49,35.6713,129.3586,0.44,10.3
2010,4,1,2,56,19,35.8237,129.2978,1.84,8.38
2010,4,2,4,47,43,35.6634,129.3606,0.91,9.44
2010,4,2,5,53,59,35.6656,129.3602,0.9,9.82
2010,4,2,22,55,31,35.6799,129.3596,0.35,10.84
2010,4,4,0,47,54,35.6698,129.3608,0.3,10.13
2010,4,4,0,49,1,35.6696,129.3604,0.42,10.15
2010,4,5,5,16,16,35.7422,129.2696,1.0,17.21
2010,4,9,9,37,22,35.6786,129.3604,0.66,10.55
2010,4,11,2,59,48,35.6619,129.3608,0.16,9.3
2010,4,20,22,22,48,35.6821,129.3968,0.87,11.15
2010,5,8,0,9,27,35.7125,129.2985,0.39,8.23
2010,5,20,20,6,4,35.708,129.3548,0.61,10.56
2010,5,28,1,29,58,35.7017,129.3692,1.0,9.55
2010,6,1,2,4,39,35.724,129.3932,0.21,9.1
2010,6,13,7,7,28,35.7483,129.3844,0.87,12.3
2010,6,14,9,57,53,35.7376,129.3869,0.86,12.35
2010,6,18,4,14,20,35.693,129.3673,0.27,9.18
2010,6,22,11,44,28,35.6746,129.3084,0.36,12.15
2010,6,23,12,40,54,35.7794,129.3517,0.36,16.86
2010,6,23,13,19,34,35.7603,129.3552,0.47,16.88
2010,6,27,11,50,44,35.8103,129.3445,0.78,15.01
2010,7,17,4,26,57,35.7025,129.3607,0.91,10.02
2010,8,2,14,59,43,35.8416,129.2633,1.02,11.0
2010,8,4,11,0,15,35.7072,129.3691,0.41,9.7
2010,8,15,21,23,28,35.8186,129.3929,0.6,12.82
