event_idx,time,lat,lon,depth,magnitude
1,2010-01-15 02:04:10.240000+00:00,35.7524,129.3791,13.53,0.7884705548173823
2,2010-01-17 02:44:30.210000+00:00,35.7058,129.3696,9.53,0.6349319336797317
3,2010-01-18 01:49:35.940000+00:00,35.7021,129.405,10.27,1.256062728107615
7,2010-02-11 05:03:54.330000+00:00,35.7487,129.3741,14.61,1.6189839684258571
8,2010-02-14 19:44:49.020000+00:00,35.6891,129.3699,8.79,0.9179433399071136
11,2010-02-24 20:34:06.900000+00:00,35.6897,129.3706,8.84,1.1706967890237443
13,2010-02-25 11:39:51.650000+00:00,35.795,129.46,9.38,1.2640136512472098
14,2010-03-02 19:45:14.380000+00:00,35.727,129.4008,13.89,0.7982554817032318
16,2010-03-20 11:44:57.620000+00:00,35.7012,129.36,8.47,0.6324202085727741
19,2010-03-29 15:27:49.420000+00:00,35.6713,129.3586,10.3,0.4447991009050163
21,2010-03-31 17:56:19.240000+00:00,35.8237,129.2978,8.38,1.8358254661267024
22,2010-04-01 19:47:43.370000+00:00,35.6634,129.3606,9.44,0.913506276775342
23,2010-04-01 20:53:59.660000+00:00,35.6656,129.3602,9.82,0.9024077062939408
24,2010-04-02 13:55:31.240000+00:00,35.6799,129.3596,10.84,0.3511566816858659
25,2010-04-03 15:47:54.780000+00:00,35.6698,129.3608,10.13,0.2991047534430813
26,2010-04-03 15:49:01.110000+00:00,35.6696,129.3604,10.15,0.4206047917186304
29,2010-04-04 20:16:16.330000+00:00,35.7422,129.2696,17.21,
30,2010-04-09 00:37:22.020000+00:00,35.6786,129.3604,10.55,0.6634474352862016
32,2010-04-10 17:59:48.330000+00:00,35.6619,129.3608,9.3,0.1597525964798577
35,2010-04-20 13:22:48.020000+00:00,35.6821,129.3968,11.15,0.8729020721321348
37,2010-05-07 15:09:27.990000+00:00,35.7125,129.2985,8.23,0.3929762735678284
39,2010-05-20 11:06:04.670000+00:00,35.708,129.3548,10.56,0.6102462759790328
41,2010-05-27 16:29:58.210000+00:00,35.7017,129.3692,9.55,0.9959411155710608
43,2010-05-31 17:04:39.350000+00:00,35.724,129.3932,9.1,0.2124519186414917
47,2010-06-12 22:07:28.760000+00:00,35.7483,129.3844,12.3,0.8677283923791985
