	network	station	channel	starttime	endtime	stla	stlo	stel
0	NS	N001	HH	2017-01-01 0:00	2099-12-31 0:00	35.764197	129.195737	88
1	NS	N002	HH	2017-01-01 0:00	2099-12-31 0:00	35.8117	129.238573	121
2	NS	N003	HH	2017-01-02 0:00	2020-03-26 0:00	35.797	129.1384	113
3	NS	N003	HH	2020-03-27 0:00	2099-12-31 0:00	35.791325	129.135096	124
4	NS	N004	HH	2017-01-01 0:00	2099-12-31 0:00	35.747327	129.128886	141
5	NS	N005	HH	2017-01-01 0:00	2099-12-31 0:00	35.678699	129.30988	87
6	NS	N006	HH	2017-01-01 0:00	2099-12-31 0:00	35.749842	129.199106	74
7	NS	N007	HH	2017-01-01 0:00	2099-12-31 0:00	35.782676	129.307393	137
8	NS	N008	HH	2017-01-01 0:00	2099-12-31 0:00	35.67038	129.371504	513
9	NS	N009	HH	2017-01-01 0:00	2099-12-31 0:00	35.745879	129.235762	111
10	NS	N010	HH	2017-01-01 0:00	2022-10-13 0:00	35.72642	129.2071	91
11	NS	N010	HH	2022-10-14 0:00	2099-12-31 0:00	35.715731	129.204688	108
12	NS	N011	HH	2017-01-01 0:00	2099-12-31 0:00	35.752921	129.161155	165
13	NS	N012	HH	2017-01-01 0:00	2022-01-06 0:00	35.76264	129.1549	163
14	NS	N012	HH	2022-01-06 0:00	2099-12-31 0:00	35.767394	129.160665	155
15	NS	N013	HH	2017-01-01 0:00	2099-12-31 0:00	35.791895	129.171549	138
16	NS	N014	HH	2017-01-01 0:00	2099-12-31 0:00	35.803315	129.199443	80
17	NS	N015	HH	2017-01-01 0:00	2099-12-31 0:00	35.787891	129.261709	92
18	NS	N016	HH	2017-01-01 0:00	2099-12-31 0:00	35.774547	129.263136	128
19	NS	N017	HH	2017-01-01 0:00	2099-12-31 0:00	35.719215	129.170996	175
20	NS	N018	HH	2017-01-01 0:00	2099-12-31 0:00	35.816774	129.188147	62
21	NS	N019	HH	2017-01-01 0:00	2099-12-31 0:00	35.701445	129.206709	62
22	NS	N020	HH	2017-01-01 0:00	2099-12-31 0:00	35.700857	129.156803	194
