Table S1. The Gyeongju Hi-density Broadband Seismic Network (GHBSN) catalog,,,,,
EventID,Origin Time (UTC),Latitude (N),Longitude (E),Depth (km),Magnitude (ML)
1,2017-11-01T19:30:51.365,35.7639,129.1955,16.3,1.5
2,2017-11-02T12:33:10.413,35.7655,129.1927,16.5,0.4
3,2017-11-02T21:03:30.509,35.7696,129.1891,14.6,0.6
4,2017-11-05T23:01:23.847,35.7672,129.1969,14.1,0.8
5,2017-11-06T04:48:35.495,35.7611,129.1978,16.4,1
6,2017-11-06T07:10:37.105,35.629,129.213,3.5,1.1
7,2017-11-08T10:48:42.466,35.757,129.1843,15.8,0.8
8,2017-11-08T14:22:02.476,35.7436,129.3058,10.4,1.3
9,2017-11-08T14:43:00.136,35.7449,129.3039,9.2,0.4
10,2017-11-08T15:44:47.526,35.7557,129.1851,15.8,0.8
11,2017-11-08T16:10:43.280,35.769,129.1911,12.9,1
12,2017-11-08T18:49:52.751,35.7497,129.3022,9.8,0.1
13,2017-11-09T04:29:42.405,35.7588,129.1824,15.8,2.2
14,2017-11-09T18:07:32.596,35.658,129.6002,16.6,0.7
15,2017-11-09T23:15:37.354,35.8305,129.0552,8.2,N/A
16,2017-11-11T07:38:33.285,35.6151,129.2135,3.5,1.2
17,2017-11-11T15:11:07.531,35.7526,129.1877,14.5,0.6
18,2017-11-11T18:21:41.918,35.7631,129.1984,16.1,1.3
19,2017-11-11T19:21:55.346,35.7533,129.1954,16.1,0.9
20,2017-11-11T19:23:07.620,35.7532,129.1924,15.8,0.9
21,2017-11-13T15:15:46.127,35.7294,129.3803,4.4,0.1
22,2017-11-15T06:14:59.571,36.1001,129.354,9,2.8
23,2017-11-15T10:58:31.824,35.6223,129.5514,33.4,1.1
24,2017-11-15T13:59:52.989,35.9107,129.741,17.9,1.4
25,2017-11-16T07:11:28.780,35.6161,129.2125,3.5,N/A
26,2017-11-16T15:37:21.942,35.743,129.4238,25.9,1.5
27,2017-11-18T15:12:56.812,35.1286,129.0175,21.2,N/A
28,2017-11-19T09:43:17.761,35.7855,129.3583,13.8,N/A
29,2017-11-19T22:40:29.331,35.7463,129.1787,15.6,1
30,2017-11-20T06:49:51.116,35.786,129.3077,10.8,1.4
31,2017-11-23T01:37:31.418,35.7288,129.2885,10.7,0.8
32,2017-11-26T19:58:28.280,35.7664,129.1946,15.1,-0.1
33,2017-11-30T06:13:33.475,35.7684,129.1894,12.3,0.3
34,2017-11-30T11:57:03.746,35.7633,129.1979,14.3,0.2
35,2017-11-30T21:25:57.770,35.7765,129.2032,13.9,0.6
36,2017-12-02T19:50:06.625,35.8158,129.3294,13,0.1
37,2017-12-02T21:00:36.079,35.7231,129.4029,11.9,1.7
38,2017-12-02T22:13:55.840,35.7811,129.2054,14.9,1.1
39,2017-12-03T07:46:19.709,35.759,129.1983,15.1,1.2
40,2017-12-03T21:02:21.458,35.9319,128.7898,14.8,N/A
41,2017-12-05T13:21:25.977,35.779,129.201,14.4,0.8
42,2017-12-06T03:26:18.991,35.78,129.2122,16.6,1.4
43,2017-12-09T07:15:37.944,35.6254,129.9778,21.9,2.4
44,2017-12-12T01:53:38.912,35.7692,129.1921,14.8,0.8
45,2017-12-12T08:23:00.630,35.758,129.1894,13.6,1
46,2017-12-13T16:41:13.398,35.8633,128.8617,17,1.9
47,2017-12-15T01:03:29.061,36.1015,129.3657,7.7,N/A
48,2017-12-19T04:34:28.567,35.7591,129.4295,7.4,2.5
49,2017-12-19T12:02:56.275,35.759,129.191,16.3,2.2
50,2017-12-19T14:06:58.571,36.1009,129.3456,7.6,N/A
51,2017-12-19T14:52:24.415,35.7636,129.1932,15.4,1.4
52,2017-12-22T09:12:22.004,35.7699,129.195,15.7,1
53,2017-12-22T10:14:58.861,35.7612,129.1886,13.7,1.3
54,2017-12-22T20:39:05.475,35.7556,129.1878,15.2,0.5
55,2017-12-23T14:06:26.692,35.7574,129.1802,13.2,0.6
56,2017-12-27T11:04:44.665,35.8639,129.2733,16,0.5
57,2017-12-29T21:42:29.983,36.1079,129.3586,12.3,N/A
58,2017-12-30T10:44:14.100,35.7627,129.1796,13.7,2.2
59,2018-01-02T12:46:19.282,35.7738,129.1973,13.6,1.1
60,2018-01-03T04:04:31.971,35.7703,129.1725,12.4,1.8
61,2018-01-04T21:28:43.306,35.7647,129.1944,14.2,1.2
62,2018-01-07T10:42:32.625,35.7662,129.1917,16.3,0.5
63,2018-01-08T15:19:37.617,35.8923,129.5963,17.8,1.6
64,2018-01-16T08:36:53.069,35.7543,129.187,16.2,1.8
65,2018-01-16T22:46:04.482,35.7869,129.2027,13.9,1
66,2018-01-17T10:08:59.963,35.7566,129.1929,16.2,0.9
67,2018-01-20T03:25:44.203,35.754,129.1832,15.6,1.5
68,2018-01-27T08:18:49.522,35.7601,129.1897,15.6,1.5
69,2018-01-27T23:10:53.655,35.8696,129.4088,15.5,N/A
70,2018-01-28T22:24:59.512,35.7796,129.1997,13.9,1.1
71,2018-01-29T04:13:02.991,35.7584,129.1901,15,1.1
72,2018-01-30T03:03:43.210,35.9245,129.2916,12.3,1.6
73,2018-01-31T14:49:30.807,35.9625,128.6463,15.9,N/A
74,2018-01-31T18:12:17.135,35.7502,129.174,13.8,1.3
75,2018-02-01T15:04:49.524,35.7833,129.0376,16.3,1.1
76,2018-02-08T09:54:14.260,35.7622,129.1921,16.1,0.8
77,2018-02-08T22:47:10.297,35.763,129.1787,13.3,0.8
78,2018-02-09T22:57:20.141,35.7745,129.1827,14.4,1.6
79,2018-02-11T15:52:52.163,35.7588,129.1916,15.7,0.8
80,2018-02-12T22:03:53.369,35.7565,129.1933,15.4,0.6
81,2018-02-14T23:00:59.931,35.8689,129.4142,15.6,1
82,2018-02-15T04:49:03.209,35.7673,129.2011,16.5,1.1
83,2018-03-04T12:13:42.303,35.7904,129.203,13,0.6
84,2018-03-06T14:25:58.289,35.7648,129.1974,14.8,0.7
85,2018-03-06T17:03:13.655,35.7647,129.1921,16.2,0.6
86,2018-03-06T18:22:13.737,35.7864,129.1757,13.5,0.6
87,2018-03-11T19:42:00.043,35.7534,129.1779,13.9,1.1
88,2018-03-12T22:25:39.158,35.7591,129.1798,13.3,1.8
89,2018-03-16T13:46:35.809,35.774,129.2117,11.8,0.4
90,2018-03-16T16:17:45.531,35.8012,129.4904,12.6,0.8
91,2018-03-16T22:06:17.224,35.8023,129.5012,13,0.8
92,2018-03-18T14:21:03.892,35.893,129.1578,13.2,0.3
93,2018-03-22T07:34:27.907,35.8569,129.719,17.8,1.9
94,2018-03-26T05:21:07.494,35.7884,129.1929,13.2,1.1
95,2018-03-29T16:27:40.753,35.7638,129.1883,14,0.8
96,2018-04-02T01:46:52.565,35.7593,129.1901,13.9,0.9
97,2018-04-03T09:44:02.744,35.7716,129.1929,13.7,1.4
98,2018-04-09T03:15:40.622,35.7645,129.1999,15.7,2.5
99,2018-04-10T06:39:10.544,35.7615,129.1988,15.6,1.8
100,2018-04-13T16:38:02.677,35.7581,129.1787,13.9,2.1
101,2018-04-14T12:57:02.465,35.7604,129.1953,14.4,0.2
102,2018-04-15T06:06:46.366,35.737,129.281,20.7,0.5
103,2018-04-16T12:13:57.226,35.72,129.3631,10.6,0.5
104,2018-04-16T18:05:48.163,35.7719,129.1903,13.7,0.8
105,2018-04-17T16:30:06.201,35.7607,129.1849,13.6,0.2
106,2018-04-20T00:19:26.263,35.748,129.1776,12.9,0.6
107,2018-04-20T20:58:39.271,35.7119,129.4086,13.1,0.9
108,2018-04-20T23:31:40.361,35.7149,129.4116,13.6,1
109,2018-04-21T01:58:20.037,35.7159,129.4129,14,1.1
110,2018-04-22T04:21:16.498,35.7119,129.4088,13.4,1.5
111,2018-04-22T07:46:55.218,35.7541,129.1958,15.1,0.8
112,2018-04-26T09:43:37.844,35.7623,129.1876,14.6,1.7
113,2018-04-26T18:47:46.108,35.7621,129.1813,13.4,0.6
114,2018-04-26T20:36:28.997,35.7598,129.1931,13.8,0.8
115,2018-04-28T17:37:18.543,35.6066,129.56,11.8,1.2
116,2018-04-30T20:26:22.423,35.7574,129.1842,14.7,0.5
117,2018-05-01T10:09:05.080,35.7717,129.199,16.4,2.3
118,2018-05-01T12:01:49.037,35.6956,129.3791,11.3,0.2
119,2018-05-02T21:06:39.130,35.7624,129.1962,12.9,0.2
120,2018-05-03T11:39:58.747,35.7855,129.2007,14.3,0.3
121,2018-05-04T12:36:59.034,35.7832,129.1598,13.2,0.3
122,2018-05-05T01:20:18.521,35.7642,129.1871,13.3,0.4
123,2018-05-06T03:21:10.501,35.7074,129.1521,1,-0.2
124,2018-05-07T04:28:06.596,35.7797,129.198,12.9,0.1
125,2018-05-07T17:15:20.482,35.7548,129.1866,13.6,0.6
126,2018-05-08T10:44:31.009,35.7603,129.175,13.7,0.4
127,2018-05-09T07:20:55.770,35.7618,129.193,13.8,0.7
128,2018-05-11T11:48:02.098,35.7733,129.1916,12.4,0.4
129,2018-05-12T20:23:55.164,35.7539,129.1745,13.9,0.8
130,2018-05-13T12:37:53.589,35.7516,129.1819,11.3,-0.2
131,2018-05-13T20:25:57.406,35.7597,129.1898,13.8,0.8
132,2018-05-16T12:05:10.990,35.7806,129.1998,14.5,1.5
