Network,Code,Latitude,Longitude,Elevation,Sensor
GJ,GJ00,35.7653,129.1952,59,HH
GJ,GJ01,35.7551,129.0473,202,HH
GJ,GJ02,35.7551,129.0473,202,HH
GJ,GJ03,35.7211,129.0156,213,HH
GJ,GJ06,35.8531,129.1692,82,HH
GJ,GJ12,35.6191,129.1695,93,HH
GJ,GJ15,35.7945,129.3875,121,HH
GJ,PK03,35.6548,129.2294,174,HH
GJ,PK05,35.8509,129.1024,82,HH
GJ,PK06,35.7973,129.1384,86,HH
GJ,PK08,35.6791,129.3095,59,HH
GJ,SS02,35.839,129.023,394,HH
GJ,SS03,35.7475,129.1298,115,HH
GJ,SS04,35.746,129.1769,76,HH
GJ,SS05,35.75,129.199,61,HH
GJ,SS06,35.7175,129.3252,99,HH
GJ,SS07,35.7652,129.1951,59,HH
GJ,SS08,35.7661,129.4276,48,HH
GJ,SS12,35.838,129.4023,144,HH
GJ,SS13,35.7651,129.195,87,HH
GJ,TP02,35.783,129.3079,112,HH
GJ,TP03,35.7543,129.2947,88,HH
GJ,TP05,35.8117,129.2387,63,HH
GJ,TP06,35.7028,129.4204,55,HH
GJ,TP07,35.8972,129.2674,43,HH
GJ,TP09,35.6184,129.0683,200,HH
GJ,TP12,35.8024,129.1826,61,HH
GJ,TP13,35.9385,129.2261,17,HH
GJ,TP14,35.7016,129.2067,91,HH
