Network,Code,Latitude,Longitude,Elevation,Borehole,Sensor,Misorientation
KG,BBK,35.57979,129.43559,45.2,X,EL,0.0
KG,CGD,35.60748,128.84267,115.6,X,EL,0.0
KG,CHS,36.18113,129.08811,240.0,X,HH,-7.241473338
KG,DKJ,35.94675,129.10892,173.2,X,EL,0.0
KG,HAK,35.92955,129.50037,15.81,X,EL,0.0
KG,HDB,35.73368,129.39905,145.5,X,HH,-131.7352516
KG,MAK,35.37017,129.17654,175.25,X,HH,0.0
KG,MKL,35.73221,129.24197,186.6,X,HH,-21.30035706
KG,YSB,35.46811,129.07992,75.14,X,HH,3.338628356
KS,DAG2,35.7685,128.897,262.0,,HH,-3.226767918
