net,sta,start,end,n_days,source
KG,BBK,2010-01-01 00:00:00,2013-11-13 00:00:00,1413,NECIS-or-kquake
KG,BBK,2014-07-30 00:00:00,2014-07-30 00:00:00,1,NECIS-or-kquake
KG,BBK,2016-01-06 00:00:00,2016-01-06 00:00:00,1,NECIS-or-kquake
KG,BBK,2016-09-09 00:00:00,2016-09-09 00:00:00,1,NECIS-or-kquake
KG,BBK,2017-09-03 00:00:00,2017-09-03 00:00:00,1,NECIS-or-kquake
KG,BBK,2020-09-08 00:00:00,2020-09-18 00:00:00,11,NECIS-or-kquake
KG,BBK,2020-12-16 00:00:00,2020-12-21 00:00:00,6,NECIS-or-kquake
KG,BBK,2024-05-29 00:00:00,2024-05-29 00:00:00,1,NECIS-or-kquake
KG,BBK,2024-06-04 00:00:00,2024-06-04 00:00:00,1,NECIS-or-kquake
KG,BBK,2024-09-01 00:00:00,2024-09-01 00:00:00,1,NECIS-or-kquake
KG,BBK,2024-11-01 00:00:00,2026-07-16 00:00:00,623,NECIS-or-kquake
KG,BOG,2017-12-21 23:16:00,2026-07-15 23:16:00,3129,NECIS-or-kquake
KG,CGD,2013-02-12 00:00:00,2013-02-12 00:00:00,1,NECIS-or-kquake
KG,CGD,2013-07-28 00:00:00,2013-07-29 00:00:00,2,NECIS-or-kquake
KG,CGD,2016-01-06 00:00:00,2016-01-06 00:00:00,1,NECIS-or-kquake
KG,CGD,2016-09-09 00:00:00,2016-09-09 00:00:00,1,NECIS-or-kquake
KG,CGD,2017-06-18 00:00:00,2017-06-19 00:00:00,2,NECIS-or-kquake
KG,CGD,2017-09-03 00:00:00,2017-09-03 00:00:00,1,NECIS-or-kquake
KG,CGD,2019-06-28 00:00:00,2019-06-30 00:00:00,3,NECIS-or-kquake
KG,CGD,2021-01-01 00:00:00,2021-03-08 00:00:00,67,NECIS-or-kquake
KG,CGD,2021-03-10 00:00:00,2021-12-31 00:00:00,297,NECIS-or-kquake
KG,CGD,2024-05-29 00:00:00,2024-05-29 00:00:00,1,NECIS-or-kquake
KG,CGD,2024-06-04 00:00:00,2024-06-04 00:00:00,1,NECIS-or-kquake
KG,CGD,2024-09-01 00:00:00,2024-09-01 00:00:00,1,NECIS-or-kquake
KG,CGD,2024-11-01 00:00:00,2026-07-16 00:00:00,623,NECIS-or-kquake
KG,CGU,2017-12-21 23:21:00,2026-07-15 23:21:00,3129,NECIS-or-kquake
KG,CHS,2010-07-04 00:00:00,2010-07-07 00:00:00,4,NECIS-or-kquake
KG,CHS,2010-08-26 00:00:00,2010-08-26 00:00:00,1,NECIS-or-kquake
KG,CHS,2011-09-17 00:00:00,2011-10-23 00:00:00,37,NECIS-or-kquake
