net,sta,start,end,n_days
KS,ADO,2010-01-01,2011-12-19,718
KS,ADO2,2011-12-20,2022-07-20,3866
KS,ADOA,2015-10-01,2025-12-31,3745
KS,ADOA,2026-01-04,2026-05-04,121
KS,ADOA,2026-05-06,2026-05-09,4
KS,ADOA,2026-05-14,2026-05-14,1
KS,ADOA,2026-05-17,2026-05-17,1
KS,ADOA,2026-07-14,2026-07-16,3
KS,BSA,2010-01-01,2026-07-16,6041
KS,BSAA,2018-12-19,2025-12-31,2570
KS,BSAA,2026-01-04,2026-05-09,126
KS,BSAA,2026-05-14,2026-05-14,1
KS,BSAA,2026-05-17,2026-05-17,1
KS,BSAA,2026-07-14,2026-07-16,3
KS,BUS,2010-01-01,2010-10-31,304
KS,BUS2,2010-11-01,2020-03-18,3426
KS,BUS3,2024-11-01,2025-12-31,426
KS,BUS3,2026-01-04,2026-05-09,126
KS,BUS3,2026-05-14,2026-05-14,1
KS,BUS3,2026-05-17,2026-05-17,1
KS,BUS3,2026-07-14,2026-07-16,3
KS,CGDA,2024-07-06,2024-07-07,2
KS,CGDA,2024-11-01,2025-12-31,426
KS,CGDA,2026-01-04,2026-05-09,126
KS,CGDA,2026-05-14,2026-05-14,1
KS,CGDA,2026-05-17,2026-05-17,1
KS,CGDA,2026-07-14,2026-07-16,3
KS,CGWB,2018-03-09,2025-12-31,2855
KS,CGWB,2026-01-02,2026-01-02,1
KS,CGWB,2026-01-04,2026-05-09,126
KS,CGWB,2026-05-14,2026-05-14,1
KS,CGWB,2026-05-17,2026-05-17,1
KS,CGWB,2026-07-14,2026-07-16,3
KS,CHR,2010-01-01,2026-07-16,6041
KS,CHRA,2018-03-09,2026-07-16,3052
KS,CHRB,2018-12-19,2025-12-31,2570
KS,CHRB,2026-01-04,2026-05-09,126
KS,CHRB,2026-05-14,2026-05-14,1
KS,CHRB,2026-05-17,2026-05-17,1
KS,CHRB,2026-07-14,2026-07-16,3
KS,CHS,2010-01-01,2026-07-16,6041
