net,sta,start,end,n_days
NS,N001,2017-01-01,2017-11-27,331
NS,N001,2018-02-05,2018-02-05,1
NS,N001,2018-02-09,2018-02-09,1
NS,N001,2018-02-15,2018-05-16,91
NS,N001,2018-07-10,2018-07-19,10
NS,N001,2018-07-23,2018-07-24,2
NS,N001,2018-11-04,2018-11-04,1
NS,N001,2019-06-19,2019-06-27,9
NS,N001,2019-12-06,2020-04-30,147
NS,N001,2020-06-01,2020-08-31,92
NS,N001,2020-09-03,2020-09-04,2
NS,N001,2020-09-24,2020-09-24,1
NS,N001,2020-10-21,2020-10-21,1
NS,N001,2020-11-20,2020-11-21,2
NS,N001,2020-12-04,2020-12-06,3
NS,N001,2021-01-25,2021-02-02,9
NS,N001,2021-10-13,2021-11-08,27
NS,N001,2023-01-15,2023-01-15,1
NS,N001,2023-12-14,2026-07-16,946
NS,N002,2017-01-01,2017-11-27,331
NS,N002,2018-02-15,2018-04-22,67
NS,N002,2018-11-04,2018-11-04,1
NS,N002,2018-11-13,2018-12-02,20
NS,N002,2019-12-07,2020-04-30,146
NS,N002,2020-06-01,2020-08-14,75
NS,N002,2020-09-03,2020-09-04,2
NS,N002,2020-09-24,2020-09-24,1
NS,N002,2020-10-21,2020-10-22,2
NS,N002,2020-11-20,2020-11-21,2
NS,N002,2020-12-04,2020-12-06,3
NS,N002,2022-09-01,2022-11-02,63
NS,N002,2023-12-14,2026-07-16,946
NS,N003,2017-01-02,2017-11-27,330
NS,N003,2018-02-15,2018-04-22,67
NS,N003,2018-07-09,2018-07-19,11
NS,N003,2018-07-27,2018-07-30,4
NS,N003,2018-09-16,2018-10-09,24
NS,N003,2018-11-04,2018-11-04,1
NS,N003,2018-11-13,2018-12-02,20
NS,N003,2019-06-17,2019-06-17,1
NS,N003,2019-07-02,2019-07-02,1
NS,N003,2019-07-14,2019-07-15,2
NS,N003,2019-11-29,2019-12-05,7
NS,N003,2019-12-07,2020-01-20,45
NS,N003,2020-01-23,2020-03-26,64
NS,N004,2017-01-01,2017-11-29,333
NS,N004,2018-02-15,2018-04-22,67
NS,N004,2018-05-15,2018-05-31,17
NS,N004,2018-06-11,2018-06-25,15
NS,N004,2018-11-04,2018-11-04,1
NS,N004,2018-11-13,2018-12-02,20
NS,N004,2019-12-07,2020-04-30,146
NS,N004,2020-06-01,2020-08-14,75
NS,N004,2020-09-03,2020-09-04,2
NS,N004,2020-09-24,2020-09-24,1
NS,N004,2020-10-21,2020-10-22,2
NS,N004,2020-11-20,2020-11-21,2
NS,N004,2020-12-04,2020-12-06,3
NS,N004,2022-09-01,2022-10-31,61
NS,N004,2023-12-14,2026-07-16,946
NS,N005,2017-01-01,2017-11-27,331
NS,N005,2018-02-05,2018-05-15,100
NS,N005,2018-07-07,2018-07-19,13
NS,N005,2018-09-16,2018-10-09,24
NS,N005,2018-11-04,2018-11-04,1
NS,N005,2018-11-13,2018-12-02,20
NS,N005,2018-12-28,2018-12-31,4
NS,N005,2019-08-30,2019-09-03,5
NS,N005,2019-09-13,2019-09-15,3
NS,N005,2019-12-02,2019-12-04,3
NS,N005,2019-12-06,2020-04-30,147
NS,N005,2020-06-01,2020-09-04,96
NS,N005,2020-09-06,2020-10-21,46
NS,N005,2020-11-20,2021-01-18,60
NS,N005,2021-01-24,2021-02-03,11
NS,N005,2021-02-09,2021-03-02,22
NS,N005,2021-03-07,2021-04-18,43
NS,N005,2021-05-07,2021-06-03,28
NS,N005,2021-06-07,2021-06-10,4
NS,N005,2021-07-01,2021-07-19,19
NS,N005,2021-07-31,2021-08-29,30
NS,N005,2021-09-10,2021-11-09,61
NS,N005,2021-11-20,2021-11-23,4
NS,N005,2021-12-01,2021-12-02,2
NS,N005,2022-01-01,2022-04-26,116
NS,N005,2022-06-12,2022-06-12,1
NS,N005,2022-06-23,2022-06-23,1
NS,N005,2022-07-19,2022-07-19,1
NS,N005,2022-07-21,2022-08-03,14
NS,N005,2022-09-01,2022-11-02,63
NS,N005,2023-12-14,2026-07-16,946
NS,N006,2017-01-01,2017-11-27,331
NS,N006,2018-01-19,2018-05-15,117
NS,N006,2018-11-04,2018-11-04,1
NS,N006,2019-12-07,2020-04-30,146
NS,N006,2020-06-01,2020-08-14,75
NS,N006,2020-09-03,2020-09-04,2
NS,N006,2020-09-24,2020-09-24,1
NS,N006,2020-10-21,2020-10-22,2
NS,N006,2020-11-20,2020-11-21,2
NS,N006,2020-12-04,2020-12-06,3
NS,N006,2021-01-23,2021-02-02,11
NS,N006,2021-02-17,2021-03-02,14
NS,N006,2022-10-26,2022-11-02,8
NS,N006,2023-12-14,2026-07-16,946
NS,N007,2017-01-01,2017-11-27,331
NS,N007,2018-01-19,2018-05-16,118
NS,N007,2018-07-10,2018-07-19,10
NS,N007,2018-09-16,2018-10-09,24
NS,N007,2018-11-04,2018-11-04,1
NS,N007,2018-11-13,2018-12-02,20
NS,N007,2018-12-07,2018-12-10,4
NS,N007,2019-12-02,2019-12-05,4
NS,N007,2019-12-07,2020-04-30,146
NS,N007,2020-06-01,2020-09-04,96
NS,N007,2020-09-24,2020-09-24,1
NS,N007,2020-10-21,2020-10-21,1
NS,N007,2020-11-20,2020-11-21,2
NS,N007,2020-12-04,2020-12-06,3
NS,N007,2021-01-25,2021-02-03,10
NS,N007,2021-09-04,2021-11-09,67
NS,N007,2022-10-26,2022-11-02,8
NS,N007,2023-12-14,2026-07-16,946
NS,N008,2017-01-01,2019-01-16,746
NS,N008,2019-05-19,2019-05-28,10
NS,N008,2020-09-03,2020-09-04,2
NS,N008,2020-10-21,2020-10-22,2
NS,N008,2020-11-20,2020-11-21,2
NS,N008,2020-12-04,2020-12-06,3
NS,N008,2023-12-14,2026-07-16,946
NS,N009,2017-01-01,2019-01-27,757
NS,N009,2020-09-03,2020-09-04,2
