net,sta,dist_km,accel_only,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
KG,CGU,5.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
KG,GCN,9.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
KG,DUC,13.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
KG,SIG,13.1,False,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
KG,MKL,13.9,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KG,DKJ,14.5,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KG,BOG,17.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
KG,POSB,20.4,False,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
KG,HDB,20.8,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KG,HCH,25.9,False,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
KG,HAK,26.2,False,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
KG,RWD,26.6,False,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
KG,POHB,27.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
KG,WSN,27.3,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KG,JUC,31.4,False,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
KG,UNI,31.6,False,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
KG,DES,33.4,False,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
KG,BBK,36.2,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KG,CHS,38.2,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KG,CGD,44.1,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KG,YSB,45.1,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KG,MAK,54.2,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KG,OJR,55.5,True,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
KG,GKP1,55.8,False,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
KG,GKP2,55.8,False,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
KG,KRN,59.5,False,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KG,PKNU,63.8,False,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
KS,OWSA,1.5,True,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
KS,YGBA,16.1,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,USN,19.3,False,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
KS,USN2,19.3,False,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
KS,GSNA,22.1,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,POH,23.2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,GIGA,23.8,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,YOC,28.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KS,YOCB,28.0,False,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
KS,OGSB,31.0,False,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
KS,DAG,31.1,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,DAG2,31.1,False,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
KS,JEJB,31.2,False,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
KS,GGDA,32.5,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,ULS,34.7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,OHBA,37.6,True,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
KS,MSNA,38.5,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,OPHB,38.6,False,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
KS,HMGA,39.4,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,PHA,39.7,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,PHA2,39.7,False,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
KS,JKJA,42.9,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,UNCA,43.0,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,HYDAT,51.0,True,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
KS,SNNA,51.0,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,DAGA,51.5,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,CGDA,54.4,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,TAG,54.5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,DAU,54.6,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KS,PMYA,57.5,True,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
KS,GGGA,58.4,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,MIY,59.3,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KS,MIYA,59.3,True,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KS,CSOA,60.4,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,CHS,61.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KS,CSO,61.0,True,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
KS,MLGA,64.0,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,ADO,66.6,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,ADO2,66.6,False,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
KS,GUWB,67.3,False,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
KS,BUS,68.3,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,BUS2,68.3,False,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
KS,BUS3,68.3,False,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
KS,EUS,73.5,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KS,EUSB,73.5,False,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
KS,SKBA,74.1,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,CHR,74.7,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KS,CHRA,76.3,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,CHRB,76.3,False,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,JUCA,77.1,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,YOD,77.1,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KS,YODB,77.1,False,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
KS,YGAA,77.4,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,CIG,78.4,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KS,CIGB,78.6,False,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
KS,JNYA,78.6,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,OADB,82.3,False,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
KS,OSBA,82.6,True,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
KS,BSA,85.3,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KS,PUS,85.7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,CLSA,86.0,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,YEYB,86.4,False,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
KS,KUM,86.6,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KS,BSAA,88.9,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,SEJAT,91.3,True,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
KS,AND,91.9,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,ADOA,92.5,True,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
KS,DNBA,93.0,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,JNHA,93.0,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,GUM,93.9,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,GUMA,93.9,True,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,YALB,94.0,False,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,YEAB,94.5,False,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,OOJB,95.5,False,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
KS,ULJ,95.5,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,ULJ2,95.5,False,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
KS,CGWB,96.4,False,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
KS,MAS,96.4,False,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
KS,MAS2,96.4,False,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
NS,N032,2.2,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N039,3.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N128,3.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N080,4.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N002,5.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N018,5.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N119,5.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N014,6.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N038,7.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N116,7.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N023,7.5,False,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
NS,N150,7.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N083,7.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N015,8.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N013,8.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N100,9.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N062,9.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N033,9.2,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N084,9.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N016,9.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N003,10.1,False,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
NS,N001,10.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N065,10.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N007,11.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N025,11.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N031,11.2,False,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
NS,N069,11.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N071,11.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N111,11.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N006,12.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N012,12.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
NS,N059,12.2,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N009,12.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N011,12.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N068,13.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N184,13.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N034,13.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N140,13.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N130,13.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N139,13.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N078,14.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N179,14.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N022,14.2,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N114,14.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N010,14.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
NS,N170,14.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N004,14.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N044,15.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N148,15.2,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N138,15.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N115,15.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N035,15.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N017,15.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N042,15.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N052,15.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N107,16.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N106,16.2,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N143,16.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N133,16.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N109,16.5,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N175,16.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
NS,N176,16.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N041,16.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N043,16.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N145,17.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N021,17.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N019,17.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N049,17.6,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N036,17.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N055,17.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N157,18.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N183,18.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N180,18.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N020,18.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N026,18.5,False,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
NS,N117,18.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N134,18.7,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N024,18.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N053,18.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N027,19.1,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N079,19.3,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N110,19.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N135,19.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N174,19.4,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N118,19.8,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N095,19.9,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NS,N141,20.0,False,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
NS,N050,20.2,False,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
